,pos,year,player_name,twoPM,porpag,adjoe,adrtg,mp,oreb,dreb,ast,stl,blk,pts,season,dporpag,test_score
0,Pure PG,2016,aakim saintil,78,1.32697,101.163,113.323,29.2258,0.3871,1.8387,4.7097,1.4839,0.0323,12.6452,2,1.56664,47.526453020044855
1,Scoring PG,2014,aakim saintil,32,0.154813,90.2838,108.117,23.0,0.5,1.4643,1.8214,1.0,0.0714,6.25,4,1.69099,31.49514208198417
3,Scoring PG,2020,aamahne santos,41,-0.0564136,84.7826,105.123,29.5667,0.2333,2.1,2.6,0.8,0.0,7.8667,2,2.24427,34.567496221182
4,Combo G,2019,aamahne santos,27,-0.305204,84.461,112.704,28.6562,0.3125,1.4688,2.4375,0.625,0.0625,6.7812,2,1.70602,26.954309268008146
5,Pure PG,2010,aamir mccleary,56,0.353716,88.973,109.563,31.3636,0.5455,3.5,4.6818,1.1818,0.0,11.2273,1,1.84381,50.76887303375635
10,Wing G,2019,aanen moody,16,0.794582,97.0455,108.283,23.0667,0.2,1.8,0.8667,0.7667,0.1333,9.7333,4,1.75502,34.83351178618193
14,Scoring PG,2018,aaren edmead,51,0.54258,94.0304,115.708,25.129,0.3548,1.6129,2.9355,0.7097,0.0,9.6452,1,1.19627,32.09993863791591
17,Wing G,2017,aaric armstead,61,-0.0117966,87.6788,99.0758,30.4375,1.9375,3.8438,1.5938,1.5312,0.625,8.6875,1,3.12733,34.268855579992746
18,Wing G,2014,aaric armstead,62,0.093042,89.3799,99.1775,25.5862,1.4828,2.6207,0.4483,0.931,0.4138,7.6897,4,2.65131,28.049012651492518
20,Wing G,2015,aaric armstead,74,1.36887,101.236,100.652,28.8214,1.3929,3.2857,0.6429,1.4286,0.3571,11.1071,3,2.64145,29.17821989676179
32,Scoring PG,2012,aaron anderson,62,2.24933,107.049,106.119,30.5,0.5357,2.3571,2.9643,1.1786,0.1071,10.9286,3,2.13145,35.33851310985696
33,Scoring PG,2013,aaron anderson,71,3.1285,113.363,106.874,32.1935,0.5806,2.6774,3.129,1.3548,0.0323,13.3226,2,2.11735,34.58214466995082
34,Combo G,2011,aaron anderson,35,0.540346,93.5133,107.774,22.1,0.2667,1.7667,1.7667,0.7,0.0667,7.3333,4,1.42714,35.21535101760219
35,Scoring PG,2014,aaron anderson,66,2.36172,111.187,115.911,29.75,0.5938,1.7812,2.875,0.875,0.0,10.75,1,1.42173,20.20688954398149
36,Combo G,2017,aaron anderson,47,1.84538,105.955,109.99,29.3077,1.6538,3.9615,3.5769,1.0,0.1154,8.3462,1,1.92459,27.493097311819454
37,Combo G,2016,aaron anderson,26,-0.31307,83.9801,110.972,23.0,0.6429,2.4643,2.3571,0.5,0.0357,3.9643,2,1.42908,28.191257239423877
43,Scoring PG,2018,aaron augustin,19,-0.104416,86.5144,98.7171,23.3529,0.2353,1.7941,3.2941,1.5,0.0882,4.0588,3,2.49883,46.26759174669596
47,Combo G,2015,aaron bacote,63,2.39516,112.851,96.2375,27.2857,0.6571,2.4,2.7143,0.6857,0.0286,9.8,2,2.92983,32.564950443771465
48,Combo G,2016,aaron bacote,110,2.62857,117.099,99.2416,26.1316,0.3421,2.5263,2.1579,0.8421,0.1579,13.0263,1,2.67692,36.699335196838604
49,Scoring PG,2014,aaron bacote,107,2.87825,116.614,103.537,29.5143,0.4571,2.5429,2.9143,0.7429,0.1429,15.4857,3,2.65874,42.31358874400414
50,Combo G,2013,aaron bacote,42,0.267248,88.0771,109.352,27.3103,0.7931,1.7241,2.5862,1.0345,0.2069,7.7586,4,1.56181,35.02338638734193
51,Wing G,2017,aaron bodager,16,-0.0543182,87.2679,110.604,29.3529,1.0294,2.9118,1.3824,0.9118,0.0,7.1471,1,1.90173,18.263711902408346
52,Wing G,2016,aaron bodager,9,2.14668,116.846,116.024,21.3871,0.7097,2.0,1.0968,0.5161,0.0968,6.3548,2,0.959818,12.135663282113583
63,Scoring PG,2015,aaron bright,57,2.04516,106.211,102.391,31.7,0.3,1.8,3.7667,0.5,0.0,10.9333,1,2.71555,34.053618611169284
64,Pure PG,2012,aaron bright,65,3.05154,117.243,96.0211,28.3514,0.3514,1.2432,3.6757,0.6486,0.0,11.7297,3,2.93404,38.8779771114603
66,Scoring PG,2013,aaron bright,45,1.91057,103.553,99.5536,30.2,0.1333,1.1667,3.4333,0.4667,0.0,9.3,2,2.74988,33.555504615689074
68,Wing G,2010,aaron broussard,101,1.32224,101.992,100.632,23.5161,2.4516,2.6774,1.1935,1.2903,0.0968,10.3226,3,2.10275,19.727371809993016
69,Wing G,2012,aaron broussard,142,3.30456,117.434,101.532,30.16,2.96,3.8,1.08,1.64,0.08,18.96,1,2.58425,18.635705733847644
70,Wing G,2015,aaron brown,98,2.61436,109.921,103.019,33.9375,0.4688,2.625,2.0,0.5938,0.0312,14.8125,1,2.82735,27.257229746016847
71,Wing G,2016,aaron brown,102,1.79666,107.588,101.317,26.4167,0.7222,2.4722,1.3056,0.3611,0.0278,10.3611,1,2.52491,20.774693687748524
72,Wing G,2015,aaron brown,88,1.24503,102.284,100.741,24.4516,1.0968,2.7742,1.1935,0.6129,0.1613,9.2903,2,2.22628,25.863760096351115
73,Wing G,2014,aaron brown,54,2.34639,113.121,101.412,27.3529,1.5882,2.7941,1.2941,0.6471,0.0294,9.9706,2,2.67359,15.093672716983292
77,Scoring PG,2018,aaron calixte,121,2.18894,106.492,111.896,33.2188,0.5,2.625,3.1562,0.875,0.125,16.9375,2,2.05525,40.03248936583475
78,Scoring PG,2015,aaron calixte,65,-0.589447,81.9986,119.36,31.8667,0.6333,2.0333,3.3667,0.4667,0.0667,7.3333,4,0.881974,28.37316018551732
79,Scoring PG,2016,aaron calixte,82,0.692921,95.3811,119.37,27.1,0.8333,1.3,2.6667,0.7,0.0667,10.8333,3,0.890463,25.995336814593927
80,Combo G,2019,aaron calixte,45,0.79057,98.3168,97.6151,21.0588,0.2059,1.5588,2.0588,0.3529,0.0,6.5882,1,2.31839,32.282993573083886
81,Wing G,2011,aaron carter,38,1.60753,106.709,98.6493,23.0,0.9697,1.8788,0.7576,0.6061,0.4545,8.697,1,2.22316,26.407634606660878
88,Scoring PG,2020,aaron clarke,47,1.74544,103.37,110.055,27.9,0.2667,1.4667,2.6667,0.5,0.0,11.2667,3,1.67352,32.223121671850876
89,Combo G,2019,aaron clarke,54,0.82298,98.5589,116.951,21.5312,0.125,1.4688,1.8438,0.25,0.0,8.3438,4,0.927292,28.76061980467489
90,Scoring PG,2021,aaron clarke,38,1.50256,99.0507,117.096,32.125,0.25,1.1875,2.9375,0.8125,0.0625,13.25,2,1.10666,31.341290343559393
91,Scoring PG,2022,aaron clarke,87,3.08847,112.573,122.803,33.08,0.36,1.32,4.08,0.48,0.0,15.96,1,0.52218,28.603062489633018
96,Pure PG,2022,aaron cook,88,1.5612,99.3872,109.207,32.1613,0.2258,2.4516,5.3548,1.3548,0.2258,10.4516,1,2.03014,50.42220984739116
99,Combo G,2018,aaron cook,67,1.0064,97.6686,103.746,29.9697,0.2121,2.0909,2.7273,1.4242,0.2727,9.7576,3,2.62063,42.380094766076674
100,Scoring PG,2019,aaron cook,73,1.1948,97.972,104.536,32.75,0.4688,1.9375,3.6875,1.2812,0.2812,10.4688,2,2.83223,41.16915312936081
103,Combo G,2012,aaron cosby,23,1.03135,95.7666,98.6165,29.8529,0.5,1.5,1.4118,0.6471,0.0588,7.8824,4,2.84143,25.540000173014477
104,Scoring PG,2013,aaron cosby,57,2.80903,111.406,102.332,31.1935,0.4516,2.0645,2.9677,0.4194,0.0323,12.6129,3,2.53099,34.06333829123054
105,Wing G,2016,aaron cosby,55,1.93452,105.77,111.431,31.8438,0.4688,3.1875,1.9062,0.4375,0.0938,13.7188,1,1.89949,29.014670340698117
106,Pure PG,2012,aaron craft,92,2.82002,110.955,81.2309,32.1795,0.5641,2.6667,4.641,2.5128,0.1795,8.8462,3,5.03797,55.71703078582469
107,Scoring PG,2014,aaron craft,97,2.20531,106.901,84.6654,34.4286,0.3143,3.3143,4.6857,2.5429,0.0857,9.7714,1,5.34004,54.99112199146258
108,Pure PG,2011,aaron craft,57,2.45449,110.222,85.382,29.6216,0.5405,2.3514,4.7838,1.973,0.1081,6.9189,4,4.25591,52.99105071106705
109,Scoring PG,2013,aaron craft,102,3.124,111.708,86.39,34.1351,0.5135,3.0541,4.6486,2.0811,0.1622,10.027,2,4.6646,50.98110125131329
114,Wing G,2011,aaron dotson,40,0.588104,93.5107,102.137,23.5625,0.8438,1.875,1.4688,0.5,0.2188,6.75,3,2.01115,28.83049442434448
117,Scoring PG,2022,aaron duhart,47,0.615858,92.3289,109.299,25.1935,0.3548,2.6129,3.3226,1.0,0.0323,7.0,1,1.60814,37.902644562022914
124,Combo G,2022,aaron estrada,163,4.35423,120.906,103.68,35.1562,0.5,5.1875,5.0,1.5312,0.1875,18.5312,2,2.90839,61.75905380694293
138,Combo G,2012,aaron graham,44,1.86984,104.531,104.354,29.0,0.7857,3.5357,2.5357,1.3571,0.2143,12.8929,3,2.18409,46.1369503604376
140,Combo G,2013,aaron graham,31,1.26871,98.6664,107.73,27.2414,0.4483,3.1034,2.0345,0.8621,0.069,11.1724,2,1.71792,37.92143520490896
141,Combo G,2014,aaron graham,36,-0.0891213,87.3037,118.783,25.7586,0.3448,1.2069,1.069,0.7241,0.069,7.8276,1,0.965975,17.12813871846113
142,Wing G,2015,aaron harrison,87,2.89256,120.033,82.6541,25.7692,0.3846,2.1795,1.4103,1.1026,0.1538,11.0256,3,3.96327,38.44880323595781
143,Wing G,2014,aaron harrison,112,3.91848,123.3,96.9389,32.575,0.625,2.325,1.85,1.075,0.3,13.725,4,3.66692,31.48328767058331
150,Wing G,2014,aaron hawley,51,1.66333,105.963,106.793,27.2667,0.7667,3.1,0.6333,0.6,0.0,10.4,1,2.1568,17.94932865056286
152,Wing G,2021,aaron henry,139,3.29858,114.636,92.1819,32.5,1.3929,4.25,3.6071,1.3214,1.2857,15.3571,2,3.93788,66.51766083510927
153,Wing G,2019,aaron henry,77,1.46676,106.705,90.2522,22.1026,1.0,2.8462,1.5641,0.641,0.4872,6.0256,4,2.98779,38.224424034832424
154,Wing G,2020,aaron henry,81,2.28381,107.984,89.2044,29.0667,1.0333,3.5333,2.8667,0.8333,0.5667,10.0,3,3.84651,48.7728490963988
155,Scoring PG,2017,aaron hines,38,-0.636822,81.2998,105.969,28.4848,0.2727,2.2424,2.5455,0.9091,0.0303,6.3939,2,2.25283,34.74824705518921
157,Combo G,2018,aaron hines,35,-0.268044,84.371,101.928,22.6364,0.0909,1.4848,1.6061,0.7879,0.0303,6.1212,1,2.15211,32.730279031504764
158,Scoring PG,2016,aaron holiday,75,1.23495,99.2945,100.412,31.6562,0.5938,2.4062,3.9688,1.4062,0.25,10.3438,4,3.09933,49.21177230374463
159,Scoring PG,2017,aaron holiday,97,3.0058,120.686,99.9203,26.3333,0.3333,2.5278,4.3889,1.0833,0.1667,12.25,3,2.65112,52.029028785629706
160,Scoring PG,2018,aaron holiday,124,5.07293,127.461,103.391,37.697,0.5152,3.1515,5.8182,1.2727,0.2424,20.3333,2,3.3327,59.3944647344842
168,Pure PG,2010,aaron johnson,69,2.17193,103.484,92.4874,35.5,0.2353,2.2941,4.8235,1.5882,0.0,9.5882,2,4.15984,46.207836166238266
169,Pure PG,2011,aaron johnson,92,3.28389,112.946,96.6981,36.3226,0.3226,2.4839,7.7097,1.4516,0.0,11.8065,1,3.72003,59.394060552965286
175,Wing G,2019,aaron jordan,22,2.38076,113.015,99.8201,27.1515,1.2727,3.303,1.4545,0.8788,0.3939,8.0,1,2.76102,24.536321354035124
