,pos,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff,
41073,C,2011,thomas robinson,108.9,26.5,60.1,58.75,19.1,30.7,8,19.1,0.51,101,168,0.601,0,0,0,4.9,1.7,57.1,1.80665,122.043,5.6,94.6,80.9206,14.6061,3.17596,2.11141,2.2424,4.1818,6.4242,0.6061,0.4242,0.6667,7.6061,0,0.46515736,0.685,0.3415,85.2061,2.32295,124.984,6.06672,2.50859,3.55813,5.28736,28.15,41.8633337,13.7133337,
9300,C,2015,damian jones,103.6,26.3,55.4,57.39,9.7,16.5,5.9,18,0.606,174,312,0.558,1,5,0.2,7.3,1.2,67.2,2.90695,116.363,3.5,82.8,95.1792,29.1429,2.01529,1.09852,2.1714,4.3143,6.4857,0.7429,0.5714,2,14.4,0.316104,0.3421295,0.6667,0.4345,97.8264,3.2313,191.226,2.7378,0.448283,2.28951,3.11381,25.69,38.44275992,12.75275992,
22076,C,2011,john henson,98.1,23.4,50.1,50.18,12.7,25.3,5.8,17.9,0.479,181,358,0.506,1,6,0.167,11.6,1.2,39,1.95458,107.406,2.6,99.2,79.6651,26.7297,2.6459,4.67848,3.2432,6.8649,10.1081,0.8108,0.5946,3.1892,11.7027,0.33098,0.39472275,0.7361,0.3505,85.5676,4.36888,277.396,8.32823,0.14168,8.18655,7.32438,31.87,43.32032534,11.45032534,
24634,C,2014,justin jackson,104.2,24.4,53.2,52.38,13.6,17.4,14.8,18.3,0.46,160,301,0.532,0,0,0,12.1,3.7,41.9,2.40134,113.234,4.4,68.8,81.1917,27.7647,2.7021,6.29519,3.2353,4.0294,7.2647,1.7353,1.6176,2.9118,11.1176,0,0.88059471,0.6503,0.3504,83.5631,4.67187,230.53,11.6096,1.40187,10.2077,8.99728,20.83,31.05639595,10.22639595,
24351,C,2014,julius randle,111.2,26.2,50.4,56.59,13.4,24.7,10,18.7,0.706,193,374,0.516,3,18,0.167,2.6,1,73.7,4.08221,126.832,3,99.8,91.0035,30.825,4.90839,1.37976,3.5,6.925,10.425,1.425,0.5,0.775,14.975,0.875006,0.5643564,0.6701,0.3466,96.732,4.09889,249.652,5.23199,3.14857,2.08342,6.28816,35.97,46.17387622,10.20387622,
33444,C,2013,nerlens noel,109,18.2,59,58.26,10.4,22.3,9.5,19.1,0.529,98,166,0.59,0,0,0,13.2,3.9,62.7,2.61518,109.012,3.2,100,78.8597,31.875,3.95391,7.13561,2.7083,6.75,9.4583,1.5833,2.0833,4.4167,10.4583,0,0.84442666,0.7677,0.3284,81.3956,5.17641,227.307,12.8608,2.47414,10.3866,11.0895,42,51.31256585,9.312565847,
9301,C,2014,damian jones,97.6,23.9,54.3,54.93,8.7,15.9,2.3,17.9,0.545,138,254,0.543,0,0,0,5.7,0.7,52.8,1.63101,106.601,5.2,82.8,95.9152,25.9032,-1.40558,1.2689,1.8387,3.8387,5.6774,0.2258,0.2903,1.3871,11.2581,0,0.12499308,0.7192,0.3056,99.2836,3.01095,147.891,-1.63408,-2.90994,1.27587,-0.136676,25.69,34.98317385,9.293173851,
9299,C,2016,damian jones,106.8,26.4,59,58.45,9.9,17.3,10.2,16.3,0.536,184,309,0.595,0,3,0,5.9,0.5,53.8,2.96524,120.73,5,82.8,90.1802,26.2424,2.73371,2.72329,2.2424,4.6364,6.8788,1.1515,0.2424,1.6364,13.8788,0.198424,0.58460679,0.731,0.4275,94.8238,3.50456,177.996,5.45568,1.70399,3.75169,5.45701,25.69,34.92423788,9.234237875,
43288,C,2010,tyler zeller,107.4,23.9,52.1,55.7,11.6,15.7,3.2,16.6,0.722,100,190,0.526,0,2,0,4.9,1.6,37.5,1.84544,116.623,4.2,97,92.2834,17.3704,2.19765,1.48801,1.9259,2.7037,4.6296,0.2593,0.5185,0.8889,9.3333,0.232944,0.20590804,0.7561,0.4603,97.1863,2.04378,100.068,1.99924,0.777173,1.22207,3.68566,32.11,40.87033671,8.760336709,
32198,C,2013,mike muscala,116.8,31.7,51,57.21,12,29,18.6,10.9,0.788,218,423,0.515,4,16,0.25,7.7,1,50.6,5.30295,132.867,2.7,9.2,83.7836,32.0909,8.51832,3.9947,2.9697,8.3333,11.303,2.3333,0.5152,2.3333,18.8788,0.966799,1.35083659,0.6597,0.3966,83.836,4.69031,257.626,10.9448,4.83395,6.11084,12.513,37.58,46.00195554,8.421955543,
31469,C,2012,meyers leonard,112.5,22,58.6,61.77,9.1,23.5,9.9,18.7,0.732,169,280,0.604,1,11,0.091,6.9,0.9,43.6,3.62588,118.932,3.7,94.2,88.2181,31.8125,3.03494,3.23251,2.2812,5.9062,8.1875,1.3438,0.4688,1.875,13.5625,0.667608,0.63237645,0.7569,0.4412,94.6348,4.16046,210.3,6.54568,1.57784,4.96784,6.26746,29.69,38.01731599,8.327315991,
18172,C,2015,jahlil okafor,116.4,27.6,66.4,64.14,14.8,18.2,9.4,18.2,0.51,279,420,0.664,0,0,0,4.5,1.5,46.2,4.86364,134.278,2.8,100,87.7919,30.0789,7.26684,2.26927,3.5263,4.9474,8.4737,1.2895,0.7632,1.4211,17.2895,0,0.5158,0.7889,0.44,94.5347,4.1073,226.642,9.34057,5.72749,3.61308,9.53611,25.32,33.47364304,8.153643035,247.6684393
24636,C,2012,justin jackson,96.6,16.9,52,52.55,10.1,12.6,9.7,25.9,0.523,77,141,0.546,0,7,0,8.2,2.6,43.9,0.769453,96.3615,5.9,68.8,88.8726,21.0811,-2.20804,4.55853,1.9459,2.2703,4.2162,1.0541,0.8919,1.6486,5.0811,0.556863,0.70911538,0.6091,0.3226,91.8662,2.70487,157.479,6.74787,-0.254808,7.00268,2.35049,20.83,28.34141227,7.511412272,-247.6684393
26726,C,2013,khem birch,109.9,17,56.3,59.06,12,16.3,5.3,18.6,0.642,67,119,0.563,0,0,0,12,1.8,68.1,1.78585,108.916,3.7,97.4,82.3431,21.8462,2.02006,5.2956,2.3077,3.4231,5.7308,0.5769,0.6923,2.6154,7.1538,0,0.48385475,0.7059,0.3725,86.5249,3.28637,137.393,9.21504,0.686356,8.52869,7.31565,33.04,40.52479017,7.484790172,
28063,C,2010,lavoy allen,114.8,19.7,54.4,55.71,12.3,23.6,14.9,14.4,0.625,166,296,0.561,5,23,0.217,4.6,1,27.6,3.73947,117.222,2.6,78.8,82.7441,34.4571,4.30145,3.97642,3.5429,7.1714,10.7143,2.3714,0.5429,1.4286,11.4857,1.23155,1.56600418,0.7868,0.3688,86.2266,5.19519,258.252,9.94786,3.40173,6.54613,8.27787,34.42,41.26446495,6.844464951,
44836,C,2017,zach collins,120.6,24.8,67.6,70.32,12.2,23.2,4.4,20.2,0.743,125,186,0.672,10,21,0.476,9.8,1.5,71.5,2.57928,130.93,6.3,94.2,77.1749,17.2308,4.31375,5.66437,1.6923,4.2051,5.8974,0.4103,0.4615,1.7692,10,1.74739,0.26668833,0.748,0.5085,79.0742,3.09468,185.367,9.54386,2.60042,6.94344,9.97812,22.92,29.73205612,6.81205612,
31470,C,2011,meyers leonard,79.1,17.5,48.3,51.46,4.6,12.8,3.3,33.1,0.706,28,57,0.491,0,1,0,5.2,1.1,29.3,-0.165376,80.4576,7.4,94.2,91.1222,8.2424,-6.91448,2.55613,0.303,0.9394,1.2424,0.1515,0.1515,0.3939,2.0606,0.222768,0.19228329,0.6923,0.3226,98.6762,1.0202,48.9904,-1.48959,-4.74511,3.25552,-4.35835,29.69,36.3688548,6.678854796,
32427,C,2012,miles plumlee,117.3,17.6,61,62.05,16.6,22.7,5.1,20,0.632,89,146,0.61,0,0,0,4.2,1.5,52.1,2.35136,118.999,4.5,89.8,89.8214,20.5,3.67006,1.67681,2.9118,4.2059,7.1176,0.5294,0.5294,0.9412,6.6471,0,0.42855988,0.7143,0.4364,94.9681,2.5794,152.76,6.31222,3.27953,3.03269,5.34687,28.89,35.42118051,6.531180509,
40342,C,2014,tarik black,122.5,17.2,69.2,67.98,11.6,21.3,3.9,17.3,0.6,74,106,0.698,0,1,0,4,1.3,51.4,1.67492,124.294,8.3,87.8,91.1439,13.5152,2.0693,2.96575,1.2424,2.6364,3.8788,0.2727,0.303,0.5152,5.4848,0.129036,0.39124821,0.7949,0.4444,98.3238,1.79382,92.3762,5.8871,3.51465,2.37245,5.03505,27.38,33.18953965,5.809539654,
9577,C,2018,daniel gafford,115.9,23.8,60.5,59.43,11.2,20,6,11,0.528,164,271,0.605,0,0,0,11.5,1.4,59.4,3.07368,127.463,5.8,92.4,94.1192,22.5714,3.57638,2.30227,2.1714,4,6.1714,0.6857,0.5429,2.1714,11.8,0,0.6486614,0.7882,0.297,99.7084,2.73771,183.187,7.68631,2.60176,5.08454,5.87864,37.25,42.87498951,5.624989507,
22077,C,2010,john henson,95.7,20.5,49.7,49.15,10.7,17.8,10.9,20.4,0.438,84,163,0.515,4,18,0.222,9.4,2.5,40.3,0.851313,101.291,2.7,99.2,86.8228,15.8649,2.36556,4.81963,1.6216,2.8108,4.4324,0.9189,0.7297,1.5676,5.7297,1.67613,0.75555009,0.8548,0.3103,92.0505,2.16987,149.79,7.42647,0.405596,7.02087,7.1852,31.87,37.01225688,5.142256881,
35082,C,2011,perry jones iii,108.7,21.3,54.7,57.68,9.6,15.9,7.5,19,0.685,155,279,0.556,2,10,0.2,3,0.9,43.9,3.25933,114.12,2.9,98.8,95.7841,33.8621,2.41683,0.507393,2.5862,4.5862,7.1724,1.1379,0.5172,0.8966,13.8966,0.602041,0.49253341,0.8505,0.3721,97.7252,3.64363,172.136,2.50737,1.54514,0.962232,2.92422,21.52,26.35961935,4.839619349,
41681,C,2016,tony parker,104.3,25.5,53.9,53.56,14,20.3,5.2,14.7,0.493,164,304,0.539,0,0,0,4,1.4,49.3,2.43321,116.227,5.1,95.4,95.8445,25.0625,1.86129,0.360192,3.25,4.9375,8.1875,0.6562,0.625,0.9688,12.5625,0,0.38885925,0.6195,0.3737,102.009,2.84638,175.033,2.11664,0.899229,1.21741,2.22148,30.6,35.40239897,4.802398972,
