,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff
158,2018,aaron holiday,112.9,27.2,55.7,60.87,1.6,8.7,29.9,20.6,0.828,124,255,0.486,88,205,0.429,0.7,1.9,41.7,5.07293,127.461,2.8,89.4,103.391,37.697,4.87478,0.140775,0.5152,3.1515,3.6667,5.8182,1.2727,0.2424,20.3333,9.1917,2,1.53599624,0.5695,0.3654,106.928,3.3327,209.167,4.36451,4.73004,-0.365525,5.01555,32.62,37.78601100181636,5.166011001816365
297,2015,abdel nader,92.4,21.1,45.0,48.84,5.0,14.5,7.8,19.1,0.767,54,101,0.535,15,69,0.217,3.0,1.3,25.3,0.688912,99.4979,3.8,51.6,94.5695,16.375,-1.33233,0.67825,0.6875,2.2188,2.9062,0.7188,0.375,0.5,5.8125,7.53709,2,0.62169173,0.6557,0.35,99.388,1.86562,99.5242,0.381111,-0.743157,1.12427,-0.654083,24.46,28.19020625242497,3.7302062524249706
1125,2015,alex caruso,101.1,21.0,52.0,55.19,2.8,14.1,34.8,28.4,0.685,80,158,0.506,26,71,0.366,0.3,4.1,40.2,2.01441,105.969,2.6,83.2,89.9005,31.4545,1.90847,4.13692,0.7273,3.8182,4.5455,5.5152,2.0909,0.0606,9.1212,4.22812,2,1.82001792,0.6355,0.2353,92.8772,4.06248,219.985,6.47715,2.70848,3.76867,6.04538,60.17,45.09692482320766,-15.073075176792344
1457,2013,allen crabbe,108.7,25.4,52.8,56.83,3.3,14.8,16.2,16.4,0.813,151,284,0.532,64,184,0.348,1.9,1.9,29.7,4.68127,122.641,2.3,87.0,92.3083,36.2121,5.72903,2.02144,1.0,5.0606,6.0606,2.6364,1.1212,0.697,18.3939,9.24179,2,1.04818706,0.6703,0.4663,96.3071,4.20554,221.672,6.67658,4.50198,2.17461,7.75047,28.9,31.446836111856967,2.546836111856969
1868,2013,andre roberson,99.8,20.4,51.5,52.4,10.6,27.1,9.4,21.2,0.551,113,217,0.521,19,58,0.328,4.4,3.9,35.6,2.25599,105.013,3.0,69.6,79.4846,33.4194,2.92706,4.63046,2.9677,8.2258,11.1935,1.4194,2.1613,1.3226,10.871,3.39385,2,0.5946127,0.6069,0.3175,83.7071,5.29756,283.374,8.97574,1.61601,7.35973,7.55752,55.03,42.36205776788934,-12.667942232110661
2055,2011,andrew nicholson,108.5,30.0,57.8,61.41,6.4,19.0,8.7,19.2,0.711,231,392,0.589,6,23,0.261,4.5,1.0,55.9,4.20821,123.546,3.5,10.6,99.7765,33.8387,4.09881,0.356402,1.6774,5.5806,7.2581,1.0323,0.5484,1.4516,20.8065,1.3406,2,0.32325035,0.773,0.4585,100.861,3.06446,199.395,1.33659,1.13703,0.199564,4.45521,25.72,31.48423945248301,5.764239452483011
5611,2015,buddy hield,110.2,26.7,50.5,54.49,5.6,12.1,13.2,13.3,0.823,112,239,0.469,93,259,0.359,0.7,2.5,26.1,4.2531,125.44,2.1,69.0,87.5904,32.4286,6.89175,2.57902,1.6,3.8286,5.4286,1.9143,1.3429,0.2286,17.4286,13.4991,2,0.98527975,0.5725,0.33,93.2655,4.44818,214.056,7.7637,6.00627,1.75743,9.47077,43.6,43.148741680918604,-0.451258319081397
6012,2018,cameron johnson,120.8,18.8,51.5,55.11,6.3,10.7,13.2,10.9,0.847,66,127,0.52,47,138,0.341,0.7,1.3,22.3,4.08265,128.136,2.4,55.4,97.9238,29.3077,4.82924,0.554492,1.6923,3.0,4.6923,2.3077,0.6923,0.1923,12.4231,10.1205,2,2.14291012,0.6364,0.3934,105.492,3.19059,129.483,6.52069,6.04682,0.473866,5.38373,62.62,38.31385932102508,-24.30614067897492
6191,2015,caris levert,101.1,26.0,47.8,52.42,1.0,15.9,22.9,16.3,0.817,58,136,0.426,28,73,0.384,1.2,3.4,28.7,3.11843,112.521,2.0,52.4,94.5529,35.8333,3.37103,3.32022,0.2778,4.6111,4.8889,3.7222,1.7778,0.3889,14.9444,7.91277,2,1.71791208,0.6667,0.3158,98.751,4.07363,116.928,6.88161,3.45651,3.4251,6.69125,41.56,49.36269203826028,7.802692038260275
6652,2010,chandler parsons,114.5,20.8,55.9,58.7,8.2,16.9,16.3,18.2,0.662,103,180,0.572,38,106,0.358,0.5,2.2,52.8,3.66913,120.208,2.7,94.4,93.3612,31.0,5.27824,1.85499,2.2647,4.5882,6.8529,2.5882,1.1471,0.1471,12.3529,5.99404,2,1.31340713,0.6899,0.2745,97.6814,3.52636,200.768,7.44858,5.56415,1.88443,7.13323,40.56,37.843206074402545,-2.7167939255974574
7341,2011,chris johnson,119.3,18.8,52.0,56.39,7.7,14.8,11.4,11.4,0.83,57,129,0.442,77,203,0.379,1.6,1.8,30.1,3.52988,120.844,2.7,71.2,96.0549,29.7222,5.91813,1.78322,2.1111,3.8611,5.9722,1.5556,0.8611,0.3889,11.8889,11.4403,2,1.47366425,0.6667,0.2949,97.5478,3.1512,199.479,7.51463,5.33637,2.17826,7.70136,29.57,30.311933572834235,0.7419335728342347
8031,2012,cj mccollum,114.5,32.7,49.9,55.93,5.0,17.4,25.4,12.4,0.813,192,393,0.489,60,172,0.349,1.8,4.6,42.7,5.1436,130.04,2.5,9.8,91.553,33.6765,8.27214,3.55188,1.4706,5.0882,6.5588,3.5294,2.6176,0.5588,22.3529,8.79588,2,1.51900161,0.6337,0.3756,89.3988,4.03645,274.887,10.254,6.74575,3.50824,11.824,55.76,43.40534000485145,-12.354659995148545
8290,2018,cody martin,116.5,21.5,53.7,56.88,5.9,13.6,24.0,15.0,0.701,179,324,0.552,15,51,0.294,4.5,2.7,39.2,4.28797,122.926,2.7,85.6,97.3842,35.6667,4.21742,2.64039,1.8056,4.4444,6.25,4.6944,1.6667,1.4722,14.0556,2.25624,2,2.31502103,0.758,0.3593,99.7017,3.91395,270.501,7.78471,4.16234,3.62237,6.85781,47.44,37.25662324259697,-10.183376757403025
