,pos,year,player_name,TS_per,DRB_per,blk_per,ftr,dgbpm,blk,season,dporpag,gbpm,score,test_score,diff
946,PF/C,2010,al farouq aminu,52.4,20.5,4.5,53.2,2.15491,1.4194,3,4.31568,6.42958,57.02914001421464,46.615421019402056,-10.413718994812584
1868,PF/C,2013,andre roberson,52.4,27.1,4.4,35.6,4.63046,1.3226,2,5.29756,7.55752,67.12153518123668,56.573388636765436,-10.548146544471244
1869,PF/C,2012,andre roberson,56.83,29.2,6.8,56.8,3.8823,1.8824,3,4.535,8.53155,67.12153518123668,59.63390550147168,-7.487629679765
1870,PF/C,2011,andre roberson,60.21,25.1,5.0,44.9,1.90349,1.0811,4,2.65851,4.9824,67.12153518123668,49.85324350867977,-17.268291672556913
2054,PF/C,2012,andrew nicholson,63.77,22.8,7.3,42.9,2.18607,1.9688,1,3.59007,9.51839,27.377398720682304,40.205672027223784,12.82827330654148
2056,PF/C,2011,andrew nicholson,61.41,19.0,4.5,55.9,0.356402,1.4516,2,3.06446,4.45521,27.377398720682304,35.454422758030965,8.07702403734866
4124,PF/C,2014,bobby portis,56.18,16.8,5.9,37.3,2.50127,1.5882,4,3.5283,6.99605,41.26510305614784,45.16517630894194,3.900073252794101
4125,PF/C,2015,bobby portis,58.23,20.2,4.8,33.5,1.08034,1.3889,3,3.6384,8.39995,41.26510305614784,40.91933201497658,-0.345771041171254
4421,PF/C,2017,brandon clarke,58.72,22.2,8.2,36.9,2.3647,2.5,3,3.56806,7.71691,79.53091684434969,45.96903915146533,-33.56187769288436
7103,PF/C,2016,chris boucher,62.43,20.6,11.9,51.7,3.49047,2.9189,2,3.61834,9.48171,54.186211798152094,45.048586632614175,-9.13762516553792
7104,PF/C,2017,chris boucher,58.98,19.6,11.7,32.0,3.21564,2.5484,1,3.33628,6.95907,54.186211798152094,37.54375649832536,-16.642455299826736
7827,PF/C,2014,christian wood,50.51,18.6,6.8,29.9,3.11571,0.9667,4,1.72555,2.92105,31.741293532338315,43.37173612300766,11.630442590669343
7828,PF/C,2015,christian wood,56.56,22.7,8.0,42.5,0.95983,2.7273,3,3.87095,4.3575,31.741293532338315,43.26352845931128,11.522234926972967
11582,PF/C,2016,derrick jones jr,60.9,13.5,6.1,64.1,2.13655,1.3214,4,2.44978,3.73797,50.44776119402986,41.535952509652944,-8.911808684376915
12688,PF/C,2016,domantas sabonis,65.09,28.2,2.7,51.3,2.27469,0.8857,3,4.53415,7.6708,68.08813077469794,55.342808408049386,-12.745322366648558
13046,PF/C,2014,dorian finney smith,47.69,19.3,1.9,40.5,2.12957,0.4324,3,3.75006,4.35978,61.02345415778252,43.41004327975884,-17.61341087802368
13092,PF/C,2012,doug mcdermott,67.84,20.5,0.3,32.7,-1.68903,0.0857,3,2.69096,8.2227,28.685145700071075,33.02850101596615,4.343355315895074
13140,PF/C,2010,draymond green,56.17,24.6,4.1,48.3,5.30217,0.9189,3,3.72302,10.1159,95.29495380241649,58.04147217962676,-37.25348162278973
13515,PF/C,2012,dwight powell,51.0,23.1,3.8,48.4,3.68878,0.6,3,2.55535,1.85397,57.64036958066809,49.30900909311105,-8.331360487557042
13516,PF/C,2013,dwight powell,54.72,24.0,3.6,43.6,2.53439,1.1471,2,3.86614,6.18507,57.64036958066809,46.13865164314162,-11.501717937526472
13518,PF/C,2011,dwight powell,53.62,19.0,4.2,54.0,3.00689,0.9032,4,2.97459,2.85775,57.64036958066809,48.69799993435203,-8.94236964631606
15243,PF/C,2015,frank kaminsky,62.78,25.7,4.5,41.0,4.47203,1.4615,1,4.85492,15.3813,37.72565742714997,52.15698555621251,14.431328129062543
15244,PF/C,2014,frank kaminsky,61.1,18.4,6.1,35.6,3.37535,1.7368,2,3.63778,10.9904,37.72565742714997,42.87680882210721,5.151151394957239
15245,PF/C,2012,frank kaminsky,50.28,12.6,5.0,25.0,3.18183,0.3714,4,1.09244,2.94304,37.72565742714997,37.17622427959205,-0.5494331475579202
16189,PF/C,2017,grant williams,57.01,12.8,7.7,73.3,2.5665,1.9062,4,3.08224,5.93474,43.411513859275054,43.4621854141048,0.050671554829747834
16191,PF/C,2018,grant williams,54.44,14.6,5.1,54.8,2.49258,1.2571,3,3.76987,5.10712,43.411513859275054,41.586443541854344,-1.8250703174207104
16300,PF/C,2010,greg monroe,56.68,25.2,4.9,54.3,3.31865,1.5294,3,4.7123,7.86202,46.8230277185501,55.173406578269564,8.350378859719463
17639,PF/C,2014,jabari parker,55.77,23.1,4.0,42.9,0.513063,1.2286,4,3.87471,6.84705,40.55437100213221,46.2133642457817,5.6589932436494905
19471,PF/C,2011,jamychal green,56.3,17.7,8.2,52.9,4.06628,2.0588,2,4.29572,8.52926,36.03411513859275,45.82919285269167,9.795077714098916
19647,PF/C,2012,jared sullinger,59.11,24.0,4.0,51.9,3.45719,1.0541,3,4.95219,10.5424,62.30277185501066,55.11854468315473,-7.18422717185593
19648,PF/C,2011,jared sullinger,59.14,26.0,2.0,65.1,1.60343,0.5405,4,4.78604,8.35786,62.30277185501066,55.88687615185044,-6.415895703160224
19684,PF/C,2018,jaren jackson jr,64.71,19.7,14.2,57.3,6.66517,3.0,4,3.55732,10.5672,65.64321250888415,60.09988655988076,-5.543325949003389
20725,PF/C,2013,jeff withey,62.07,20.9,13.7,60.4,6.25337,3.9459,1,4.99547,10.4486,51.96872778962332,53.11282796142077,1.1441001717974473
22390,PF/C,2010,jon leuer,58.35,20.0,5.2,34.2,3.33254,1.3333,2,3.94313,11.4523,41.53518123667378,44.40939055286612,2.874209316192342
22391,PF/C,2011,jon leuer,56.8,22.6,3.1,27.7,1.26043,0.8824,1,4.04456,8.76528,41.53518123667378,37.22186413641422,-4.31331710025956
25600,PF/C,2018,keita bates diop,57.73,24.5,5.9,27.4,2.83435,1.6471,2,4.62406,10.297,37.9815209665956,47.41990487065016,9.438383904054554
25760,PF/C,2013,kelly olynyk,67.83,20.1,5.1,50.5,3.17511,1.129,2,3.64964,13.6199,55.12437810945274,45.55669670567851,-9.56768140377423
25762,PF/C,2011,kelly olynyk,60.9,21.1,1.2,53.7,0.700442,0.1471,3,1.61356,2.39922,55.12437810945274,39.120924738849965,-16.003453370602777
26542,PF/C,2015,kevon looney,53.22,21.0,3.3,45.8,1.88494,0.8889,4,3.78196,6.31592,56.40369580668089,48.28411732263117,-8.119578484049718
27423,PF/C,2015,kyle kuzma,53.46,20.9,2.2,40.8,1.74312,0.1613,4,1.10713,1.87177,29.90760483297797,42.401186892106345,12.493582059128375
27424,PF/C,2017,kyle kuzma,56.34,22.7,1.6,36.3,0.303122,0.4828,2,3.45396,5.46892,29.90760483297797,37.68760672130129,7.780001888323323
27425,PF/C,2016,kyle kuzma,55.82,17.7,1.8,36.0,0.205394,0.4571,3,2.60876,1.50972,29.90760483297797,34.788072914580674,4.880468081602704
27458,PF/C,2010,kyle o'quinn,57.66,21.9,6.1,28.0,-0.774642,1.7,3,2.22393,0.460307,45.00355366027009,33.55338184715307,-11.450171813117024
27923,PF/C,2014,larry nance jr,60.4,25.0,7.5,48.8,4.382,2.2917,2,4.81112,8.62031,57.24235963041934,54.374581855743365,-2.8677777746759716
27924,PF/C,2012,larry nance jr,53.02,19.1,3.9,41.2,2.76622,0.5484,4,2.35605,1.87188,57.24235963041934,45.81519879385689,-11.42716083656245
28038,PF/C,2011,lavoy allen,51.9,20.2,5.4,30.8,2.66789,1.8485,1,4.35626,5.00454,39.84363894811656,39.354680262763736,-0.48895868535282716
29746,PF/C,2011,marcus morris,62.51,19.0,2.4,51.1,2.43718,0.6316,2,3.93206,9.94358,43.226723525231,43.18016462563133,-0.046558899599673964
29811,PF/C,2011,marcus thornton,38.46,14.3,6.7,47.1,2.92157,0.5938,4,1.15923,-0.725175,39.8862828713575,38.05071759611948,-1.835565275238018
29812,PF/C,2015,marcus thornton,54.3,20.5,4.3,53.0,2.59808,1.129,1,3.8219,4.54863,39.8862828713575,40.30340582918376,0.4171229578262583
29813,PF/C,2014,marcus thornton,50.25,16.6,5.8,62.7,1.49694,1.3235,2,2.93543,1.69465,39.8862828713575,35.42322373568495,-4.463059135672552
29814,PF/C,2012,marcus thornton,33.58,18.0,2.7,34.3,0.838517,0.4815,3,2.33869,-4.44912,39.8862828713575,33.81042464618837,-6.075858225169128
30082,PF/C,2011,markieff morris,64.16,24.7,4.9,46.2,3.20885,1.1316,2,3.72177,9.37206,36.1904761904762,49.09450694514076,12.90403075466456
30083,PF/C,2010,markieff morris,61.19,20.3,5.5,64.5,3.49423,0.9722,3,2.59106,6.23359,36.1904761904762,48.24515247913177,12.054676288655571
30230,PF/C,2016,marquese chriss,58.64,11.7,5.9,38.3,1.63427,1.6176,4,2.74802,4.24068,46.01279317697228,37.159836807924094,-8.852956369048187
30428,PF/C,2018,marvin bagley iii,64.35,21.4,2.6,47.5,1.34425,0.8788,4,4.41523,9.6447,36.11940298507464,49.67340969106078,13.55400670598614
32171,PF/C,2011,mike muscala,58.0,22.3,8.1,43.6,2.53424,1.9706,3,3.40537,5.77416,46.2544420753376,46.43708578503388,0.1826437096962792
32172,PF/C,2012,mike muscala,60.16,25.4,6.5,61.6,1.80054,1.6471,2,3.55184,8.5554,46.2544420753376,45.76369811043923,-0.49074396489837113
32229,PF/C,2012,mike scott,62.0,24.0,1.8,45.0,2.37285,0.4688,1,4.58281,9.68678,26.325515280739165,44.69744735410279,18.371932073363627
32230,PF/C,2010,mike scott,53.45,21.6,1.1,22.6,0.538932,0.2857,2,3.21047,3.88438,26.325515280739165,35.73724848936252,9.411733208623357
32399,PF/C,2010,miles plumlee,58.51,22.2,3.8,39.9,3.26982,0.65,3,2.55104,3.23715,31.926083866382378,47.42675052271938,15.500666656337003
32685,PF/C,2014,montrezl harrell,59.16,19.7,4.8,41.8,3.07548,1.3243,3,4.59993,8.1235,69.56645344705046,48.79999639051504,-20.766457056535423
32686,PF/C,2015,montrezl harrell,58.81,19.1,3.7,50.8,3.16934,1.2,2,5.27412,8.58579,69.56645344705046,47.39745878643279,-22.16899466061767
32717,PF/C,2016,moritz wagner,62.18,13.2,2.7,30.5,0.947082,0.2069,4,0.915181,-2.33269,42.91400142146411,33.09158959730821,-9.8224118241559
32946,PF/C,2015,myles turner,55.61,24.9,12.3,43.6,5.45255,2.6176,4,3.51116,8.53262,50.10660980810236,59.430687423479945,9.324077615377583
33940,PF/C,2010,nikola vucevic,55.27,23.2,4.5,34.0,3.7254,1.3,3,4.88396,6.35383,59.45984363894812,53.331894674163536,-6.127948964784586
33941,PF/C,2011,nikola vucevic,57.8,25.6,4.4,38.3,2.48314,1.3824,2,4.65874,8.82136,59.45984363894812,48.59162575354307,-10.868217885405052
34070,PF/C,2014,noah vonleh,60.43,27.3,5.4,62.0,3.33363,1.3667,4,3.93211,6.05888,37.46979388770434,59.610034318913804,22.140240431209463
34811,PF/C,2010,patrick patterson,62.42,13.4,4.1,34.8,2.5092,1.3421,2,4.19133,8.74506,43.041933191186935,37.67233491023717,-5.369598280949766
35053,PF/C,2012,perry jones iii,53.61,18.6,2.1,28.3,0.758121,0.5938,3,3.84024,4.25016,21.947405828002847,38.65557018546211,16.708164357459264
35565,PF/C,2012,quincy acy,62.87,18.6,6.5,64.9,2.83409,1.8108,1,3.81235,5.96114,35.366027007818055,40.6950728064671,5.329045798649048
35566,PF/C,2011,quincy acy,57.67,18.2,5.5,62.2,1.7928,1.5,2,3.79231,4.20615,35.366027007818055,40.13051809754589,4.764491089727834
35567,PF/C,2010,quincy acy,70.35,14.4,3.4,45.7,1.28903,0.7714,3,2.68985,5.45171,35.366027007818055,37.054054552081006,1.688027544262951
36592,PF/C,2015,richaun holmes,62.31,21.0,11.3,50.7,3.02693,2.6452,1,3.56104,8.6819,43.48258706467662,40.52139997251276,-2.9611870921638612
36593,PF/C,2014,richaun holmes,56.8,17.4,9.2,55.2,3.22783,2.7097,2,4.08811,5.21592,43.48258706467662,42.96055338234088,-0.5220336823357385
37045,PF/C,2010,robert sacre,55.93,14.8,7.8,75.6,2.53214,1.9394,3,3.12138,2.47962,23.681592039801,41.807972553213254,18.126380513412254
37413,PF/C,2014,rondae hollis jefferson,54.44,15.7,4.3,61.1,4.57465,1.0526,4,3.936,7.44216,53.48969438521678,52.92557100003731,-0.5641233851794709
37640,PF/C,2016,ryan anderson,60.44,26.2,2.0,65.2,1.3549,0.6061,1,3.8955,6.57919,56.38948116560057,43.682451079195545,-12.707030086405027
37778,PF/C,2010,ryan kelly,42.84,16.1,6.2,13.3,5.14982,0.4,4,0.938486,3.39075,28.32977967306326,43.61468535214605,15.284905679082787
40774,PF/C,2012,terrence jones,54.66,16.3,5.8,44.6,4.14732,1.7895,3,4.39391,9.17559,29.53802416488984,48.32488938499176,18.786865220101916
