,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,obpm,score,test_score,diff
298,Stretch 4,2013,abdel nader,80.2,38.6,42.6,63,0.775547,94.0947,95.1509,-1.60017,-4.18276,19.71570717839375,41.90852536940585,22.1928181910121
299,Stretch 4,2012,abdel nader,78.5,38.1,41.91,74,0.11054,87.0027,106.773,-3.45139,-4.89876,19.71570717839375,30.203634482195554,10.487927303801804
2241,Stretch 4,2013,anthony bennett,112.8,57.5,60.36,156,3.70621,124.606,85.8106,5.93445,3.58896,0.0,53.15751838423424,53.15751838423424
4529,Stretch 4,2016,brandon ingram,112.1,52.5,55.25,134,4.30177,123.987,95.9335,5.53645,4.07465,47.78962331201137,43.78706925374502,-4.002554058266355
6639,Stretch 4,2011,chandler parsons,110.3,54.6,55.14,112,3.42501,115.877,90.6999,4.95164,5.0632,54.05828002842929,55.573222335817434,1.5149423073881465
7325,Stretch 4,2010,chris johnson,116.4,52.4,57.06,73,3.26504,125.245,84.6466,6.9899,5.59166,35.73560767590619,43.9758201162538,8.240212440347612
7327,Stretch 4,2012,chris johnson,122.2,58.7,62.37,62,4.04122,125.543,98.7273,7.15824,6.30495,35.73560767590619,39.17762137433101,3.442013698424823
12902,Stretch 4,2018,donovan mitchell,103.7,60.2,61.99,16,0.392831,97.8764,100.251,-1.8673,-0.335025,69.35323383084577,46.60538914806091,-22.74784468278486
13044,Stretch 4,2015,dorian finney smith,107.9,55.7,56.35,88,3.34376,122.031,86.8288,6.11344,5.16374,61.02345415778252,49.63842070647456,-11.385033451307955
13045,Stretch 4,2016,dorian finney smith,113.7,52.8,56.94,98,3.79298,122.468,90.2357,6.08556,4.86776,61.02345415778252,47.798516390326114,-13.224937767456403
13047,Stretch 4,2012,dorian finney smith,92.9,39.4,42.73,43,0.863422,94.3459,92.8925,0.0580196,0.636195,61.02345415778252,46.421547961730795,-14.601906196051722
13089,Stretch 4,2013,doug mcdermott,121.3,62.3,67.19,207,6.48425,144.359,94.353,10.3787,6.75132,28.685145700071075,42.952122710170414,14.266977010099339
13090,Stretch 4,2011,doug mcdermott,110.1,58.1,60.67,173,3.36637,119.763,101.427,4.33506,3.00352,28.685145700071075,36.67011742337752,7.984971723306444
13091,Stretch 4,2014,doug mcdermott,124.4,60.3,64.43,234,7.36282,151.192,100.924,11.104,8.15612,28.685145700071075,31.687930559405004,3.0027848593339286
13139,Stretch 4,2012,draymond green,107.3,50.4,54.22,160,4.43161,124.279,77.9306,5.98404,4.6544,95.29495380241649,66.73812716988218,-28.55682663253431
13141,Stretch 4,2011,draymond green,107.7,47.8,51.92,107,3.7492,122.686,84.4545,5.85927,5.84921,95.29495380241649,50.29792724461717,-44.997026557799316
15242,Stretch 4,2013,frank kaminsky,122.4,51.0,56.15,29,1.57691,130.136,81.2694,4.72018,5.57218,37.72565742714997,24.14058108682991,-13.585076340320057
16103,Stretch 4,2010,gordon hayward,113.3,52.7,60.13,126,4.3908,123.638,84.8713,5.68736,3.93472,62.88557213930349,60.58215718919479,-2.303414950108703
18356,Stretch 4,2013,jake layman,102.2,48.9,50.96,39,0.82285,97.1877,92.0703,1.18157,1.77755,24.2359630419332,50.4887314554058,26.252768413472598
22506,Stretch 4,2017,jonathan isaac,118.8,56.8,61.37,99,3.31379,124.259,85.7333,5.44522,3.5937,82.80028429282163,50.45827419652724,-32.34201009629439
23855,Stretch 4,2016,josh smith,87.3,39.7,42.61,9,-0.164794,81.4245,97.0776,-3.88429,-3.22047,45.870646766169166,53.08913856132341,7.218491795154243
24409,Stretch 4,2014,justin anderson,100.9,47.0,51.58,66,1.58796,109.653,87.8731,2.36992,1.57329,34.37100213219617,42.63568300324158,8.264680871045414
24610,Stretch 4,2018,justin jackson,91.3,41.6,47.05,27,1.0433,98.1542,95.4628,0.207988,-0.419034,20.36958066808814,40.332889653308456,19.963308985220316
