,pos,year,player_name,Ortg,eFG,TS_per,AST_per,porpag,adjoe,ogbpm,ast,season,dporpag,score,test_score,diff
158,Scoring PG,2016,aaron holiday,94.5,46.2,50.03,21.1,1.23495,99.2945,-0.725836,3.9688,4,3.09933,37.242359630419344,41.956825975648655,4.714466345229312
159,Scoring PG,2017,aaron holiday,113.1,57.1,60.96,24.4,3.0058,120.686,2.95371,4.3889,3,2.65112,37.242359630419344,45.31806875858015,8.075709128160803
160,Scoring PG,2018,aaron holiday,112.9,55.7,60.87,29.9,5.07293,127.461,4.87478,5.8182,2,3.3327,37.242359630419344,46.82845273722708,9.586093106807738
1126,Scoring PG,2013,alex caruso,87.7,41.3,45.13,27.9,0.504046,91.2602,-1.46725,3.3939,4,2.97941,76.70220326936746,39.17592122826784,-37.52628204109962
8444,Scoring PG,2018,collin sexton,109.6,49.8,56.66,27.8,4.74253,133.448,5.4363,3.6061,4,3.25388,37.85358919687279,51.672151070177236,13.818561873304446
9500,Scoring PG,2015,d'angelo russell,113.6,54.1,57.29,30.1,5.28622,132.576,8.22413,5.0,4,4.47433,52.06823027718551,52.89650985377973,0.8282795765942197
10782,Scoring PG,2017,de'aaron fox,110.7,49.7,54.81,28.6,4.05821,127.361,3.96048,4.5833,4,3.93508,49.39587775408671,46.329742202409435,-3.0661355516772772
11047,Scoring PG,2015,delon wright,125.2,54.5,61.66,32.8,5.7605,136.98,8.27648,5.0857,1,5.1177,60.3269367448472,48.8085165807729,-11.5184201640743
11048,Scoring PG,2014,delon wright,119.2,57.2,63.34,29.3,5.07891,128.207,6.21179,5.1935,2,5.09535,60.3269367448472,51.26958566060651,-9.057351084240693
11279,Scoring PG,2017,dennis smith jr,109.5,52.0,56.31,34.2,4.58556,126.048,5.32612,6.1562,4,3.14567,21.194029850746272,49.823109497779015,28.629079647032743
11619,Scoring PG,2017,derrick white,121.1,58.1,62.67,28.3,5.20076,133.722,8.84082,4.3529,1,3.29774,89.25373134328359,48.91949396962211,-40.33423737366148
12197,Scoring PG,2016,devonte' graham,117.4,57.4,59.89,19.5,3.5155,119.344,4.10802,3.7027,3,4.20691,57.100213219616215,45.473862697282854,-11.626350522333361
12199,Scoring PG,2015,devonte' graham,106.1,46.6,53.56,23.0,1.58939,113.177,1.54818,2.1034,4,2.15884,57.100213219616215,46.64260355338679,-10.457609666229423
12397,Scoring PG,2012,dion waiters,115.9,53.4,56.53,21.2,3.66298,129.685,5.86491,2.4865,3,3.20202,43.02771855010662,44.18834319049532,1.160624640388697
12398,Scoring PG,2011,dion waiters,108.1,47.6,51.86,17.5,1.63374,115.306,1.54584,1.5152,4,2.07364,43.02771855010662,41.28127267621383,-1.7464458738927888
13922,Scoring PG,2014,elfrid payton,107.4,51.6,54.07,32.3,3.95247,119.896,5.60237,5.75,2,3.38689,34.9680170575693,42.06357201491173,7.095554957342429
13923,Scoring PG,2012,elfrid payton,82.6,44.7,48.68,27.7,-0.0194229,85.45,-3.16082,2.9677,4,2.43142,34.9680170575693,40.73446145204795,5.766444394478654
13924,Scoring PG,2013,elfrid payton,103.6,49.4,53.06,33.5,3.25382,111.851,3.1982,5.4375,3,3.13048,34.9680170575693,43.59973074009564,8.631713682526339
15365,Scoring PG,2013,fred vanvleet,100.4,45.1,48.55,27.3,0.901155,101.322,0.478386,2.2821,4,1.99774,90.44776119402988,39.85639004123271,-50.59137115279717
16194,Scoring PG,2018,grayson allen,121.1,53.6,57.97,21.2,4.93857,128.083,4.64711,4.6486,1,4.12495,47.26368159203981,39.0980709093568,-8.16561068268301
17010,Scoring PG,2010,iman shumpert,94.0,44.5,48.24,24.3,1.73453,102.029,0.801949,4.0,3,4.14162,53.34754797441366,39.77300366980093,-13.57454430461273
17168,Scoring PG,2012,isaiah canaan,120.4,58.3,63.69,23.7,5.0012,128.194,7.19613,3.5333,2,3.63464,27.0362473347548,52.538990698472794,25.502743363717993
17170,Scoring PG,2011,isaiah canaan,106.7,51.0,56.11,18.3,2.12879,108.016,2.31145,2.2667,3,2.2568,27.0362473347548,46.87834509462384,19.842097759869038
17171,Scoring PG,2013,isaiah canaan,112.4,52.4,57.63,27.7,4.98726,124.649,5.91546,4.2759,1,3.0365,27.0362473347548,44.398833847225646,17.362586512470845
17357,Scoring PG,2011,isaiah thomas,114.3,51.7,56.25,32.7,4.84646,130.417,5.9993,6.0857,2,3.51267,54.31414356787492,43.39995662689374,-10.914186940981182
18524,Scoring PG,2016,jalen brunson,107.9,53.9,58.14,19.1,2.38076,116.627,2.45949,2.5,4,2.88415,61.49253731343284,47.823548133887485,-13.668989179545356
18525,Scoring PG,2018,jalen brunson,128.5,60.4,63.53,26.6,6.37043,146.071,7.833,4.6,2,3.5916,61.49253731343284,44.50949265800648,-16.98304465542636
18526,Scoring PG,2017,jalen brunson,125.7,60.4,65.5,26.1,5.35828,137.426,5.70354,4.1111,3,3.64433,61.49253731343284,49.783363788160756,-11.709173525272085
19240,Scoring PG,2011,james johnson,116.6,49.3,52.76,20.6,3.61302,116.942,4.26381,3.5,2,2.93362,40.76759061833689,39.61894054197365,-1.1486500763632392
19241,Scoring PG,2012,james johnson,106.1,45.7,49.6,19.8,2.84947,108.633,2.46282,3.4839,1,2.81004,40.76759061833689,35.12519304687262,-5.642397571464272
19242,Scoring PG,2010,james johnson,109.5,45.6,52.32,23.0,2.30028,106.149,1.29802,4.0,3,2.28707,40.76759061833689,44.29504406984267,3.527453451505778
21012,Scoring PG,2010,jeremy lin,113.3,57.5,62.7,30.8,3.95084,121.499,5.42258,4.4643,1,3.49379,59.30348258706468,46.84202883513014,-12.461453751934542
21092,Scoring PG,2013,jerian grant,103.3,47.4,51.77,30.8,3.59462,114.609,2.82817,5.5429,2,3.47516,37.93887704335466,39.5094456371238,1.5705685937691385
21382,Scoring PG,2017,jevon carter,118.0,53.3,57.12,20.5,3.92707,123.755,4.9317,3.7027,2,4.88943,37.49822316986497,42.52998902499882,5.031765855133848
21384,Scoring PG,2016,jevon carter,108.6,45.9,50.04,21.2,2.24382,111.419,2.22933,3.2571,3,3.84502,37.49822316986497,39.59813539665396,2.0999122267889874
21385,Scoring PG,2015,jevon carter,106.2,45.1,48.64,14.8,1.74618,108.694,2.95885,1.7714,4,2.999,37.49822316986497,43.728152281553044,6.229929111688072
21441,Scoring PG,2010,jimmer fredette,121.0,53.7,61.53,30.7,6.12419,142.803,9.48092,4.6765,2,3.39751,32.09665955934613,54.51736817478203,22.4207086154359
21442,Scoring PG,2011,jimmer fredette,114.7,53.1,59.2,28.6,7.18971,144.192,10.0698,4.3056,1,3.90002,32.09665955934613,50.11112080107773,18.014461241731603
22928,Scoring PG,2018,jordan hill,98.1,48.5,52.0,20.5,1.62682,101.874,0.0481475,3.4545,1,2.54182,35.280739161336186,33.965904629349765,-1.3148345319864205
23042,Scoring PG,2016,jordan mclaughlin,112.6,55.1,57.88,25.6,3.4455,119.063,3.96535,4.6765,3,3.39439,47.51954513148543,44.521769312471264,-2.9977758190141657
23043,Scoring PG,2015,jordan mclaughlin,94.5,40.7,44.83,30.1,1.65888,102.828,1.24169,4.5455,4,2.92898,47.51954513148543,40.923448701838076,-6.596096429647353
23044,Scoring PG,2017,jordan mclaughlin,115.2,52.5,56.9,29.6,3.68122,119.0,3.42769,5.4722,2,3.16718,47.51954513148543,41.22498200802491,-6.29456312346052
25809,Scoring PG,2011,kemba walker,117.8,47.8,54.3,28.0,7.24909,142.787,9.21951,4.4878,2,4.59401,83.18407960199006,48.51885944490938,-34.66522015708068
25810,Scoring PG,2010,kemba walker,106.2,45.4,52.54,29.2,3.80355,116.858,3.36942,5.0588,3,4.30595,83.18407960199006,47.0338133266559,-36.15026627533416
