,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff
296,2016,abdel nader,103.5,20.7,55.5,58.35,2.9,14.3,8.0,19.7,0.736,109,197,0.553,52,140,0.371,2.2,1.9,31.5,2.4854,111.208,3.6,51.6,97.815,31.0857,1.531,1.19284,0.7429,4.2286,4.9714,1.5429,1.0571,0.6857,12.9143,7.21419,1,0.68357622,0.6909,0.3793,103.21,3.32365,211.419,4.02682,2.35256,1.67426,2.72384,24.46,41.105467310072044,16.645467310072043
1124,2016,alex caruso,111.6,17.5,56.6,59.75,4.1,9.5,31.1,26.8,0.785,83,145,0.572,28,76,0.368,1.6,4.2,29.4,2.42652,112.497,3.4,83.2,87.9836,28.8378,2.58753,5.49811,1.0811,2.5405,3.6216,5.0,2.0811,0.3784,8.1351,4.11003,1,2.12639288,0.6931,0.2955,92.8983,4.04549,230.328,8.93768,3.87646,5.06121,8.08564,60.17,49.01739254394349,-11.152607456056515
1716,2010,amir johnson,91.9,15.6,41.7,43.43,1.2,8.5,30.2,25.1,0.525,37,91,0.407,29,102,0.284,0.4,1.6,30.6,-0.243627,83.5944,3.0,2.0,102.837,33.4286,-3.30527,0.266853,0.3929,2.8571,3.25,5.7143,0.9643,0.1429,6.8571,6.07159,1,2.42429262,0.3929,0.4194,99.3184,2.7091,160.438,-2.74979,-1.90614,-0.843647,-3.03842,47.41,39.820896824121945,-7.589103175878051
2054,2012,andrew nicholson,116.7,28.1,60.1,63.77,11.2,22.8,9.4,18.1,0.776,197,332,0.593,23,53,0.434,7.3,1.3,42.9,4.69023,131.189,3.7,10.6,91.5303,30.0625,7.33232,2.18607,2.5938,5.8125,8.4062,1.0312,0.6562,1.9688,18.4688,3.36402,1,0.41248002,0.7219,0.4862,93.7441,3.59007,207.66,8.05175,4.51105,3.54069,9.51839,25.72,24.022145334353326,-1.6978546656466733
5610,2016,buddy hield,121.5,28.4,62.3,66.45,4.0,13.0,12.7,17.1,0.88,154,279,0.552,147,322,0.457,1.4,1.8,33.3,6.6609,142.728,2.3,69.0,94.0957,35.3784,10.2417,1.61038,1.2432,4.4865,5.7297,2.027,1.1351,0.4865,25.0,13.8488,1,0.66369796,0.6685,0.3465,100.663,4.2368,240.576,8.86581,7.83954,1.02627,11.852,43.6,41.82230270457373,-1.7776972954262718
6190,2016,caris levert,126.8,26.0,59.0,63.14,2.5,19.0,32.9,11.9,0.788,48,90,0.533,27,60,0.45,0.8,1.8,44.0,5.23009,136.429,1.7,52.4,100.076,31.0714,7.86926,2.52181,0.6429,4.7857,5.4286,4.9286,0.9286,0.2143,16.3571,8.3802,1,3.13643865,0.75,0.2857,102.205,3.11393,79.6485,9.52432,7.69219,1.83213,10.3911,41.56,41.31997511659435,-0.24002488340565264
6651,2011,chandler parsons,110.3,20.1,54.6,55.14,7.3,19.3,21.6,20.3,0.557,112,206,0.544,43,117,0.368,1.3,1.7,30.0,3.42501,115.877,2.2,94.4,90.6999,34.1389,4.95164,2.70364,2.0556,5.6944,7.75,3.7778,0.9444,0.4167,11.3056,5.90179,1,1.67902226,0.7355,0.2706,95.262,4.1897,232.775,8.60912,5.0632,3.54592,7.65528,40.56,43.63881588364754,3.078815883647536
7339,2012,chris johnson,122.2,19.6,58.7,62.37,10.1,15.7,9.4,16.8,0.859,62,108,0.574,69,174,0.397,2.2,1.5,27.7,4.04122,125.543,3.1,71.2,98.7273,29.6875,7.15824,0.509233,2.5,3.875,6.375,1.3125,0.7188,0.5938,12.4375,11.2642,1,0.8235036,0.7353,0.3023,101.389,2.80166,168.963,7.44024,6.30495,1.13529,7.66747,29.57,26.636844919396452,-2.933155080603548
8030,2013,cj mccollum,115.7,35.0,58.0,62.75,4.0,14.5,25.1,14.7,0.849,63,130,0.485,33,64,0.516,1.2,2.7,37.6,5.50317,136.404,2.3,9.8,96.5057,31.0,9.03588,0.279008,1.0,4.0,5.0,2.9167,1.4167,0.3333,23.9167,10.3207,1,1.09374883,0.5397,0.4328,97.4339,3.16236,72.2165,6.97876,7.26103,-0.28227,9.31489,55.76,53.750947575563686,-2.0090524244363124
9334,2016,damion lee,117.9,21.8,51.4,57.09,2.2,11.1,10.7,13.6,0.843,91,176,0.517,61,179,0.341,0.1,2.8,37.7,4.18571,123.892,2.5,50.8,87.6416,33.5333,4.04929,3.48888,0.6333,3.2667,3.9,1.9667,1.5333,0.0333,15.9333,10.6358,1,1.17999637,0.65,0.3421,93.7289,4.80755,180.351,6.23177,4.05645,2.17532,7.53817,28.96,30.670156203485448,1.7101562034854467
