,pos,year,player_name,usg,DRB_per,twoPM,blk_per,adrtg,dgbpm,season,rimmade/(rimmade+rimmiss),dporpag,obpm,score,test_score,diff
137,Wing F,2014,aaron gordon,23.2,19.3,173,3.4,83.3035,3.85299,4,0.6919,4.96193,2.89022,51.76972281449894,51.400686230578486,-0.3690365839204546
297,Wing F,2015,abdel nader,21.1,14.5,54,3.0,94.5695,0.67825,2,0.6557,1.86562,-0.743157,19.71570717839375,24.50892735627633,4.793220177882581
1458,Wing F,2012,allen crabbe,21.4,16.5,96,1.8,92.0698,1.62326,3,0.7091,4.05122,4.03295,31.89765458422175,44.25471708077632,12.357062496554565
2115,Wing F,2014,andrew wiggins,25.1,12.3,146,3.1,94.4649,1.8287,4,0.697,3.98001,4.66538,49.29637526652453,54.521130829090225,5.224755562565697
3731,Wing F,2016,ben simmons,28.2,26.8,215,2.5,93.3664,3.18062,4,0.7227,4.27519,5.24639,80.05685856432126,57.72523031520012,-22.331628249121138
6640,Wing F,2010,chandler parsons,20.8,16.9,103,0.5,93.3612,1.85499,2,0.6899,3.52636,5.56415,54.05828002842929,37.73137834669882,-16.32690168173047
7326,Wing F,2011,chris johnson,18.8,14.8,57,1.6,96.0549,1.78322,2,0.6667,3.1512,5.33637,35.73560767590619,41.330682700767454,5.595075024861266
8279,Wing F,2015,cody martin,22.2,10.5,28,2.9,92.9989,3.37165,4,0.6111,1.33955,1.48188,58.436389481165605,54.940338727303185,-3.49605075386242
9380,Wing F,2017,damyean dotson,21.2,18.2,94,0.6,95.8541,0.960869,1,0.6296,3.92325,5.98813,8.102345415778252,31.538793167929185,23.436447752150933
9381,Wing F,2016,damyean dotson,18.9,17.2,102,0.7,102.521,-0.337607,2,0.7536,2.78648,6.41573,8.102345415778252,28.339262263478275,20.236916847700023
9994,Wing F,2011,darius miller,17.2,11.2,91,3.6,91.3889,3.13995,2,0.7073,3.81031,4.74628,42.771855010660985,45.63166532731256,2.8598103166515756
9996,Wing F,2012,darius miller,18.6,7.3,87,1.2,91.8848,2.33683,1,0.7347,3.11829,6.30998,42.771855010660985,35.54761824709749,-7.224236763563496
10833,Wing F,2018,de'andre hunter,25.4,14.9,83,2.7,84.9856,3.63825,4,0.6,3.06007,3.7128,37.782515991471215,52.19820072895186,14.415684737480646
11620,Wing F,2011,derrick williams,28.7,21.9,184,2.3,91.1963,1.9496,3,0.7181,3.67449,7.30197,8.784648187633262,41.479430417494115,32.69478222986085
11621,Wing F,2010,derrick williams,26.2,19.7,158,2.4,95.3585,0.437828,4,0.7588,2.97851,2.95105,8.784648187633262,37.0964279674738,28.31177977984054
11622,Wing F,2014,derrick williams,15.9,15.9,32,2.2,97.7922,1.11023,1,0.7073,2.22801,-1.03246,8.784648187633262,27.120054048805343,18.33540586117208
11623,Wing F,2013,derrick williams,24.2,17.6,68,1.7,99.3854,-0.332535,2,0.7105,2.3564,3.21724,8.784648187633262,30.59582988057423,21.811181692940966
11624,Wing F,2012,derrick williams,22.7,15.2,101,1.8,100.996,-0.976111,3,0.6894,2.27019,2.90368,8.784648187633262,26.149383923731847,17.364735736098584
12339,Wing F,2015,dillon brooks,22.6,11.6,116,2.1,100.654,-0.160257,4,0.584,2.59365,2.35756,63.909026297086,35.400945362504956,-28.508080934581045
13349,Wing F,2018,duncan robinson,15.8,9.5,43,1.7,92.1065,3.02583,1,0.6735,3.30556,4.21005,57.9815209665956,41.180638171458725,-16.80088279513688
13350,Wing F,2016,duncan robinson,17.4,12.2,39,0.9,100.492,0.864287,3,0.6585,2.88239,4.75691,57.9815209665956,44.55334873848949,-13.428172228106114
13351,Wing F,2017,duncan robinson,17.0,9.3,37,1.2,100.184,0.761927,2,0.8696,1.98614,5.43506,57.9815209665956,39.70580919078961,-18.275711775805995
13449,Wing F,2016,dwayne bacon,27.3,17.4,165,0.1,97.9688,-0.279809,4,0.6343,3.08491,1.46063,8.869936034115138,34.1164023515054,25.24646631739026
13517,Wing F,2014,dwight powell,26.8,17.3,165,2.8,93.3368,2.45625,1,0.6187,4.07434,1.62738,57.64036958066809,40.453557966601835,-17.186811614066258
14510,Wing F,2015,eric paschall,27.3,14.2,97,1.7,105.528,-1.67107,4,0.5833,2.35918,-0.222871,23.89481165600569,37.1436801809331,13.248868524927413
14511,Wing F,2018,eric paschall,17.6,12.8,108,2.2,94.0474,2.60933,2,0.7016,3.62998,5.50623,23.89481165600569,42.227194803991665,18.332383147985976
