,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,score,test_score,diff
296,Wing G,2016,abdel nader,103.5,55.5,58.35,109,2.4854,111.208,97.815,1.531,1.5429,12.9143,0.68357622,0.6909,2.72384,19.71570717839375,41.43803635036022,21.72232917196647
1023,Wing G,2010,alec burks,117.0,56.7,62.49,144,5.0314,133.419,103.123,6.88621,1.75,17.4286,0.875,0.6438,6.14104,44.26439232409383,47.51621482643146,3.2518225023376246
1024,Wing G,2011,alec burks,116.2,49.8,57.71,215,5.61344,137.983,101.415,7.64884,2.973,20.5135,1.13404034,0.6559,7.23727,44.26439232409383,54.741606416524625,10.477214092430792
1457,Wing G,2013,allen crabbe,108.7,52.8,56.83,151,4.68127,122.641,92.3083,5.72903,2.6364,18.3939,1.04818706,0.6703,7.75047,31.89765458422175,47.19836406737701,15.300709483155256
1459,Wing G,2011,allen crabbe,112.6,54.5,58.2,77,3.26936,114.666,97.003,4.55669,1.9677,13.3548,1.3260328,0.7692,5.94279,31.89765458422175,47.229930069562435,15.332275485340684
2813,Wing G,2013,archie goodwin,96.9,46.4,50.91,140,2.61308,109.137,94.5801,0.684581,2.6667,14.1212,0.8712997,0.6023,0.958423,16.10518834399432,47.31830526215066,31.213116918156338
3691,Wing G,2013,ben mclemore,118.7,58.6,63.26,125,4.47541,125.989,87.3941,6.59953,1.973,15.9189,0.94805635,0.7143,9.50053,24.05117270788913,47.01423551454553,22.963062806656403
4258,Wing G,2012,bradley beal,112.3,52.5,57.45,112,4.31343,122.37,92.1814,5.27745,2.2432,14.7568,1.05063003,0.6496,7.56367,66.04122245913292,49.16064114369001,-16.880581315442917
5301,Wing G,2017,bruce brown,111.5,51.5,55.94,101,3.36313,118.28,90.4539,3.79755,3.2121,11.8485,1.58208156,0.625,7.66906,60.454868514570016,52.6825788952323,-7.77228961933772
5537,Wing G,2013,bryn forbes,108.2,52.0,56.46,69,2.60885,111.344,108.954,3.51599,1.0,12.9655,0.61701734,0.551,1.45761,21.3361762615494,41.86709704206938,20.53092078051998
5610,Wing G,2013,buddy hield,97.2,43.3,46.66,62,1.43344,101.671,94.38,2.00583,1.8519,7.8148,1.1364138,0.5694,4.15094,52.921108742004265,45.75347788993464,-7.167630852069621
5611,Wing G,2015,buddy hield,110.2,50.5,54.49,112,4.2531,125.44,87.5904,6.89175,1.9143,17.4286,0.98527975,0.5725,9.47077,52.921108742004265,43.40123507166286,-9.519873670341404
5612,Wing G,2016,buddy hield,121.5,62.3,66.45,154,6.6609,142.728,94.0957,10.2417,2.027,25.0,0.66369796,0.6685,11.852,52.921108742004265,42.34742270194056,-10.573686040063706
5613,Wing G,2014,buddy hield,113.7,54.8,56.78,106,3.85182,123.293,100.703,5.6647,1.8788,16.5152,1.03332969,0.6462,6.5508,52.921108742004265,41.15702285616316,-11.764085885841105
6178,Wing G,2015,caris levert,101.1,47.8,52.42,58,3.11843,112.521,94.5529,3.37103,3.7222,14.9444,1.71791208,0.6667,6.69125,50.0497512437811,53.19320052328361,3.143449279502505
6179,Wing G,2014,caris levert,111.7,52.0,55.84,103,3.80866,120.81,97.5617,3.97772,2.9459,12.9189,1.75801161,0.6867,5.92454,50.0497512437811,51.73608296974771,1.6863317259666104
6181,Wing G,2013,caris levert,93.2,38.8,39.73,15,0.28454,92.9324,95.7402,-2.26335,0.7576,2.303,2.50033004,0.4167,-1.73257,50.0497512437811,40.42634895118248,-9.62340229259862
7329,Wing G,2012,chris johnson,102.3,46.4,54.14,48,1.26139,109.194,98.3809,1.10272,0.7333,6.6,0.56407692,0.551,0.879228,35.73560767590619,48.02545233923576,12.289844663329575
7330,Wing G,2013,chris johnson,108.6,48.8,54.38,84,2.70803,112.452,104.607,2.21425,1.6552,12.5862,1.04350019,0.5765,1.07448,35.73560767590619,47.12849111659794,11.392883440691755
