,pos,year,player_name,twoPM,porpag,adjoe,adrtg,mp,oreb,dreb,ast,stl,blk,pts,season,dporpag,score
3275,Combo G,2012,austin rivers,116,3.41399,115.548,97.2284,33.2059,0.6176,2.7647,2.0882,0.9706,0.0294,15.5,4,3.33088,31.357498223169863
3365,Combo G,2010,avery bradley,117,2.32709,108.707,92.5408,29.5,0.9706,1.9118,2.0882,1.2941,0.5294,11.6471,4,3.43879,39.6588486140725
4490,Combo G,2018,brandon goodwin,169,3.65969,118.907,102.6,33.4118,1.1176,4.4118,4.7647,1.3235,0.1176,18.5882,1,3.15848,
4491,Combo G,2017,brandon goodwin,152,4.53426,128.062,104.0,31.5882,0.8235,3.7059,4.0882,1.2059,0.0588,18.5,2,2.80735,
4558,Combo G,2011,brandon knight,130,4.52621,122.747,94.5951,35.8684,0.6579,3.3684,4.1842,0.6579,0.2105,17.2895,4,4.01095,33.617626154939586
4692,Combo G,2020,brandon rush,22,-0.130129,83.1206,114.586,17.1786,0.25,0.9643,0.4286,0.6786,0.1429,4.7857,4,0.747491,24.44918265813789
4694,Combo G,2022,brandon rush,84,1.67172,103.002,118.053,27.64,0.56,2.4,1.8,0.76,0.08,14.16,2,0.887374,24.44918265813789
5536,Combo G,2014,bryn forbes,65,3.33733,116.542,106.266,34.6333,0.6,2.3333,1.5667,0.8333,0.0,15.1667,3,2.76811,21.3361762615494
5538,Combo G,2015,bryn forbes,40,2.34711,113.93,96.8531,26.2051,0.2051,1.2308,0.9744,0.5897,0.1282,8.5128,2,2.70003,21.3361762615494
5539,Combo G,2016,bryn forbes,53,4.49225,134.439,99.064,28.0286,0.3429,1.7429,1.4857,0.4,0.0286,14.4286,1,2.8868,21.3361762615494
6180,Combo G,2016,caris levert,48,5.23009,136.429,100.076,31.0714,0.6429,4.7857,4.9286,0.9286,0.2143,16.3571,1,3.11393,50.0497512437811
6940,Combo G,2012,chasson randle,84,3.0153,114.711,91.9947,30.4595,0.5676,2.6486,2.0541,1.1351,0.0541,13.8378,4,3.5707,
6941,Combo G,2013,chasson randle,95,2.90384,112.339,95.3497,31.0,0.6765,2.2647,2.6176,1.1176,0.0588,13.6471,3,3.27466,
6942,Combo G,2015,chasson randle,127,5.13548,128.713,97.7536,36.4054,0.2973,3.027,3.027,1.3514,0.1351,19.5676,1,3.68325,
6943,Combo G,2014,chasson randle,150,4.43287,124.849,99.0085,35.0833,0.5556,3.0278,2.1389,1.0278,0.0556,18.75,2,3.72142,
8018,Combo G,2012,cj mccollum,192,5.1436,130.04,91.553,33.6765,1.4706,5.0882,3.5294,2.6176,0.5588,22.3529,2,4.03645,71.37171286425018
8020,Combo G,2013,cj mccollum,63,5.50317,136.404,96.5057,31.0,1.0,4.0,2.9167,1.4167,0.3333,23.9167,1,3.16236,71.37171286425018
8230,Combo G,2019,coby white,106,3.69748,124.886,92.0853,28.5714,0.3429,3.2,4.0857,1.0857,0.3143,16.0571,4,3.69208,40.93816631130064
8322,Combo G,2020,cole anthony,82,3.44623,113.99,95.2872,34.8636,0.4545,5.2273,3.9545,1.3182,0.2727,18.5,4,3.85586,
8833,Combo G,2011,cory joseph,84,2.66713,110.158,89.5381,32.3889,0.6389,2.9167,3.0278,1.0278,0.3056,10.4167,4,4.17314,46.93674484719261
9291,Combo G,2012,damian lillard,129,6.32296,137.966,103.535,35.3,0.5333,4.2667,4.1,1.5,0.2333,24.3667,2,2.75997,86.51030561478325
9292,Combo G,2010,damian lillard,95,4.74424,125.965,102.854,34.4138,0.3793,3.6552,3.6207,1.2069,0.1379,20.1379,3,2.78825,86.51030561478325
10892,Combo G,2017,de'anthony melton,80,1.9861,109.064,94.7375,27.0,1.3889,3.3333,3.4722,1.9167,1.0278,8.3333,4,3.19273,64.64818763326227
11007,Combo G,2016,dejounte murray,168,2.44351,109.327,96.4446,33.5,1.4118,4.5588,4.4706,1.8235,0.2941,16.1176,4,3.71125,69.87917555081735
11935,Combo G,2018,devin harris,95,1.06709,96.5349,104.87,33.5862,1.1379,6.4828,5.4483,1.6897,0.1724,12.5172,1,3.00206,59.9857853589197
12198,Combo G,2017,devonte' graham,63,4.36266,123.83,95.7707,35.25,0.4722,2.6389,4.1389,1.5278,0.1944,13.3611,2,4.01456,57.100213219616215
12396,Combo G,2012,dion waiters,21,-0.00508308,85.6089,95.897,16.0476,1.0,1.6667,1.8095,1.1429,0.0476,3.2381,2,1.68568,43.02771855010662
12823,Combo G,2010,donald sloan,148,4.23432,122.541,93.6834,33.3939,0.6667,2.8788,2.2727,0.6667,0.0606,17.8788,1,3.77464,28.742004264392325
12900,Combo G,2017,donovan mitchell,101,4.18895,125.447,86.2419,32.2941,1.0882,3.7647,2.7353,2.0588,0.5,15.5588,3,4.74913,69.35323383084577
14362,Combo G,2010,eric bledsoe,95,2.00502,104.97,90.0148,30.3243,0.5135,2.5676,2.8919,1.4054,0.3243,11.3243,4,3.80115,68.14498933901919
14771,Combo G,2010,e'twaun moore,161,3.56931,118.479,86.9938,31.5143,0.9143,2.9143,2.6571,1.4571,0.2857,16.4286,2,4.30533,42.11798152096661
14772,Combo G,2011,e'twaun moore,151,4.85912,127.743,88.3413,33.8824,1.5,3.6471,3.1765,1.2059,0.5294,18.0,1,4.51998,42.11798152096661
15239,Combo G,2017,frank jackson,82,3.14817,124.244,97.4997,24.8889,0.6389,1.8611,1.6944,0.5556,0.0556,10.9444,4,2.71476,25.444207533759773
15467,Combo G,2016,gabe vincent,78,2.31512,108.709,100.824,32.2188,0.625,2.5,2.2812,1.2188,0.1562,13.8438,3,3.1331,
15470,Combo G,2017,gabe vincent,47,1.9186,105.07,109.825,31.95,0.9,2.8,2.35,0.8,0.1,14.75,2,2.12184,
15657,Combo G,2010,gary clark,15,0.813722,111.502,92.3596,9.3333,0.25,0.375,0.2083,0.625,0.0417,3.2083,2,1.07778,10.291400142146411
15658,Combo G,2011,gary clark,69,2.60462,114.388,108.25,26.6875,0.4062,1.7812,1.5625,0.9375,0.1562,10.9062,1,1.72957,10.291400142146411
15673,Combo G,2014,gary harris,114,4.64387,130.168,92.577,32.3143,1.0571,2.9429,2.6857,1.8,0.4286,16.7429,3,4.11667,48.75621890547264
15674,Combo G,2013,gary harris,84,4.02039,123.983,89.3441,29.9091,0.8788,1.6667,1.303,1.3636,0.1818,12.9697,4,3.79433,48.75621890547264
16196,Combo G,2016,grayson allen,149,6.62717,140.488,98.671,36.5833,0.6667,3.9167,3.5278,1.3056,0.1389,21.6389,3,3.81818,47.26368159203981
16197,Combo G,2017,grayson allen,60,4.14882,128.16,96.1502,29.6176,0.6765,3.0588,3.5,0.7647,0.0588,14.4706,2,3.36924,47.26368159203981
16863,Combo G,2011,ian clark,78,2.72804,118.448,94.0227,24.6,0.4571,1.8286,1.8,1.2286,0.1714,12.1714,3,2.78886,18.606965174129357
16864,Combo G,2013,ian clark,111,4.11126,120.704,95.6922,33.5484,0.3548,2.871,2.3548,1.6452,0.2258,18.3548,1,3.50289,18.606965174129357
16865,Combo G,2010,ian clark,89,2.18665,107.174,100.956,29.6129,0.7097,2.5806,2.1613,1.0645,0.3226,14.9032,4,2.60432,18.606965174129357
16866,Combo G,2012,ian clark,58,3.22854,119.511,99.8706,27.7273,0.4242,2.2424,2.3636,1.0,0.0909,12.7273,2,2.5284,18.606965174129357
17009,Combo G,2011,iman shumpert,135,4.04547,122.988,88.6926,32.0,1.7419,4.1935,3.4839,2.7419,0.1935,17.3226,2,4.21159,53.34754797441366
17169,Combo G,2010,isaiah canaan,63,2.14682,116.297,95.8062,20.2353,0.3529,1.9118,1.4706,0.7647,0.0294,10.1176,4,2.15555,27.0362473347548
17356,Combo G,2010,isaiah thomas,121,3.85141,121.522,92.7601,31.1143,0.5714,3.3429,3.1714,1.0571,0.0857,16.9429,3,3.63033,54.31414356787492
