,pos,year,player_name,usg,AST_per,twoP_per,porpag,ast,stl,blk,pts,season,ast/tov,dporpag,test_score
0,Pure PG,2016,aakim saintil,25.1,30.7,0.448,1.32697,4.7097,1.4839,0.0323,12.6452,2,1.62224451,1.56664,49.08309949640005
1,Scoring PG,2014,aakim saintil,18.8,16.8,0.36,0.154813,1.8214,1.0,0.0714,6.25,4,1.186039,1.69099,40.82863292645539
3,Scoring PG,2020,aamahne santos,16.9,17.7,0.398,-0.0564136,2.6,0.8,0.0,7.8667,2,1.50002882,2.24427,34.47430865136267
4,Combo G,2019,aamahne santos,13.6,13.6,0.375,-0.305204,2.4375,0.625,0.0625,6.7812,2,1.59188866,1.70602,29.02527466917111
5,Pure PG,2010,aamir mccleary,27.1,36.7,0.352,0.353716,4.6818,1.1818,0.0,11.2273,1,1.35527571,1.84381,48.939454725775555
10,Wing G,2019,aanen moody,18.8,5.4,0.39,0.794582,0.8667,0.7667,0.1333,9.7333,4,0.81250587,1.75502,27.37582734122914
14,Scoring PG,2018,aaren edmead,22.7,22.0,0.402,0.54258,2.9355,0.7097,0.0,9.6452,1,1.42189381,1.19627,38.70235324984751
17,Wing G,2017,aaric armstead,18.4,9.6,0.359,-0.0117966,1.5938,1.5312,0.625,8.6875,1,1.0,3.12733,25.511123075801933
18,Wing G,2014,aaric armstead,19.8,4.7,0.431,0.093042,0.4483,0.931,0.4138,7.6897,4,0.25491869,2.65131,29.529780559640884
20,Wing G,2015,aaric armstead,21.6,4.6,0.423,1.36887,0.6429,1.4286,0.3571,11.1071,3,0.38299774,2.64145,26.658498349952815
32,Scoring PG,2012,aaron anderson,18.6,20.6,0.473,2.24933,2.9643,1.1786,0.1071,10.9286,3,1.59619832,2.13145,35.43568726790815
33,Scoring PG,2013,aaron anderson,20.8,21.3,0.458,3.1285,3.129,1.3548,0.0323,13.3226,2,1.76361178,2.11735,34.1274259086967
34,Combo G,2011,aaron anderson,20.0,17.0,0.347,0.540346,1.7667,0.7,0.0667,7.3333,4,1.17780002,1.42714,38.12223894727553
35,Scoring PG,2014,aaron anderson,18.0,18.1,0.475,2.36172,2.875,0.875,0.0,10.75,1,2.24398992,1.42173,33.26103153933138
36,Combo G,2017,aaron anderson,16.8,21.3,0.528,1.84538,3.5769,1.0,0.1154,8.3462,1,1.7546725,1.92459,37.08013939563011
37,Combo G,2016,aaron anderson,13.5,17.2,0.448,-0.31307,2.3571,0.5,0.0357,3.9643,2,1.26923698,1.42908,34.272284930216045
43,Scoring PG,2018,aaron augustin,12.5,21.3,0.404,-0.104416,3.2941,1.5,0.0882,4.0588,3,2.07410912,2.49883,44.910911757639845
47,Combo G,2015,aaron bacote,21.0,20.4,0.429,2.39516,2.7143,0.6857,0.0286,9.8,2,2.02122261,2.92983,38.48684239792154
48,Combo G,2016,aaron bacote,25.6,17.0,0.48,2.62857,2.1579,0.8421,0.1579,13.0263,1,1.3898622,2.67692,33.94702427383763
49,Scoring PG,2014,aaron bacote,30.1,24.0,0.43,2.87825,2.9143,0.7429,0.1429,15.4857,3,1.02002028,2.65874,38.8414406276922
50,Combo G,2013,aaron bacote,19.3,19.2,0.506,0.267248,2.5862,1.0345,0.2069,7.7586,4,0.97401325,1.56181,42.19069902366082
51,Wing G,2017,aaron bodager,13.6,7.2,0.552,-0.0543182,1.3824,0.9118,0.0,7.1471,1,0.77052561,1.90173,25.703847077486074
52,Wing G,2016,aaron bodager,11.7,8.1,0.563,2.14668,1.0968,0.5161,0.0968,6.3548,2,1.54544172,0.959818,24.30391926590041
63,Scoring PG,2015,aaron bright,22.9,24.5,0.41,2.04516,3.7667,0.5,0.0,10.9333,1,1.66175497,2.71555,37.54773948022642
64,Pure PG,2012,aaron bright,21.9,26.3,0.428,3.05154,3.6757,0.6486,0.0,11.7297,3,1.61903717,2.93404,37.78201273403726
66,Scoring PG,2013,aaron bright,18.6,22.3,0.378,1.91057,3.4333,0.4667,0.0,9.3,2,2.10206339,2.74988,35.731601888238735
