,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,obpm,test_score
8,Stretch 4,2020,aamir simms,107.2,53.2,56.47,105,3.47478,117.426,90.1611,4.17591,3.19796,53.756269078908474
9,Stretch 4,2019,aamir simms,104.4,52.5,54.11,65,1.62064,104.985,92.6665,1.01734,1.44714,50.745887786311215
19,Wing F,2016,aaric armstead,93.2,43.5,47.75,67,0.700003,94.7007,99.8851,-0.808385,-1.40583,38.295231949663815
55,Wing F,2014,aaron bowen,98.7,53.5,53.22,65,0.821412,100.075,96.3767,0.553347,1.37571,44.06122722765039
61,Wing F,2018,aaron brennan,106.2,50.5,54.48,101,1.98653,108.709,108.438,0.848052,0.334666,25.640384664098576
67,Wing F,2011,aaron broussard,104.0,50.4,53.95,146,2.04681,105.389,99.7474,2.01866,0.33756,41.19517045357287
127,Stretch 4,2016,aaron falzon,113.3,52.2,54.25,24,1.88489,110.467,101.686,2.594,3.07917,32.20279252394059
129,Stretch 4,2020,aaron falzon,106.0,53.2,54.82,24,0.947545,96.6716,108.913,-0.36111,0.119123,35.594331429945385
137,Wing F,2014,aaron gordon,105.5,51.6,50.27,173,2.86228,115.064,83.3035,3.32065,2.89022,59.16960765938262
148,Wing F,2012,aaron hawley,91.4,46.6,47.26,23,0.328285,90.403,100.911,0.0201697,-0.91697,40.7575993862537
194,Stretch 4,2019,aaron nesmith,104.4,49.3,53.65,55,2.13344,108.742,98.6876,1.56443,0.993082,39.17639460099741
216,Stretch 4,2016,aaron ross,118.9,54.0,61.49,66,2.98822,128.151,97.6949,4.28222,3.77166,23.0876699020711
265,Stretch 4,2022,aaron wheeler,110.1,56.8,57.88,75,2.17696,114.102,95.8328,3.34406,2.22328,40.16754008896888
266,Wing F,2015,aaron white,128.1,55.3,63.26,150,5.59827,139.015,88.114,8.41527,7.34678,47.567512733993
267,Wing F,2013,aaron white,114.5,49.7,58.13,125,3.73525,122.428,89.2509,5.62973,4.69369,46.05018486993217
268,Wing F,2014,aaron white,122.6,60.0,65.95,135,3.87934,128.667,93.8032,6.17717,5.42431,40.90412211939264
269,Wing F,2012,aaron white,111.7,53.5,57.56,119,2.76488,119.139,98.7793,4.00493,3.76943,31.37686322866992
286,Wing F,2022,aaryn rai,97.1,46.3,49.54,102,1.61759,100.369,98.8567,-0.28527,-1.54767,44.2003770119955
299,Stretch 4,2012,abdel nader,78.5,38.1,41.91,74,0.11054,87.0027,106.773,-3.45139,-4.89876,30.203634482195554
334,Wing F,2022,abdul mohamed,100.8,50.3,54.94,53,0.700256,92.9825,98.7672,-0.17472,-0.644689,48.385712923529184
335,Stretch 4,2021,abdul mohamed,102.9,53.4,57.26,38,0.913806,97.3093,100.417,-0.428031,-0.926098,45.480756345227945
342,Stretch 4,2011,abe lodwick,95.9,47.5,48.38,12,-0.080002,85.2586,92.8229,-2.38511,0.22408,60.00774742024046
363,Wing F,2021,abu kigab,103.4,50.2,54.75,72,2.26271,108.666,91.5968,1.55972,1.47408,51.217557449889
396,Wing F,2010,adam koch,111.7,52.1,60.37,98,3.26203,123.412,88.6577,4.40634,3.21043,43.08857577757033
445,Stretch 4,2010,adam templeton,117.1,59.3,61.47,56,2.9424,114.038,102.731,3.35642,3.28588,43.077137124645105
446,Wing F,2021,adam thistlewood,115.4,56.7,60.22,29,2.17552,106.442,96.1347,1.62466,2.01321,54.81517423473716
478,Stretch 4,2013,adam young,96.9,41.5,46.81,35,0.669189,92.816,102.901,-1.66128,-0.218444,36.953333321436816
491,Wing F,2018,ade murkey,89.6,40.9,45.61,79,0.280613,91.0492,106.391,-2.50331,-3.08871,29.19792657879165
500,Wing F,2010,adhar mayen,101.6,50.0,51.66,51,0.708968,94.0622,108.186,-0.847326,-0.563285,34.848414057289375
511,Wing F,2018,admiral schofield,108.0,52.8,55.38,113,3.05675,119.42,89.1708,4.00644,3.28,47.07536085649488
512,Wing F,2019,admiral schofield,109.2,54.8,56.23,159,3.75345,122.028,94.5479,4.44481,4.02465,44.913289547792914
543,Wing F,2013,adonis thomas,101.9,43.9,48.21,129,1.98575,104.889,94.3216,1.3293,0.435016,44.33060235735161
551,Stretch 4,2014,adreian payne,113.5,56.5,60.66,134,4.04018,129.964,91.739,5.0434,3.50668,41.31934472302336
601,Wing F,2010,adrian satchell,101.3,51.5,51.66,82,0.554719,92.4021,112.435,-2.10596,-2.13501,32.3938221402621
603,Wing F,2011,adrian satchell,92.0,45.3,47.46,71,0.125888,87.9568,117.959,-3.73939,-3.42116,21.869573023942905
605,Wing F,2011,adrian thomas,114.7,55.7,56.81,12,2.42649,111.789,101.598,3.45207,4.37719,38.94168624874155
613,Wing F,2020,adrio bailey,97.6,53.2,53.49,61,0.690501,94.2003,86.9979,-0.831545,-0.802334,66.16088603354947
629,Wing F,2015,agunwa okolie,96.0,51.6,51.52,47,-0.180104,85.2465,95.2848,-1.41103,-1.45713,57.0570223502468
630,Wing F,2016,agunwa okolie,106.3,54.5,56.62,107,1.84202,104.925,99.2119,-0.0122887,0.274192,47.27418823632328
