,pos,year,player_name,Ortg,eFG,TS_per,AST_per,porpag,adjoe,ogbpm,ast,season,dporpag,test_score
0,Pure PG,2016,aakim saintil,99.7,42.4,51.19,30.7,1.32697,101.163,-0.927424,4.7097,2,1.56664,40.48730518482077
1,Scoring PG,2014,aakim saintil,90.7,38.8,45.78,16.8,0.154813,90.2838,-4.29753,1.8214,4,1.69099,38.545584963835154
3,Scoring PG,2020,aamahne santos,91.3,43.4,45.46,17.7,-0.0564136,84.7826,-2.79163,2.6,2,2.24427,30.09692177629379
4,Combo G,2019,aamahne santos,94.8,44.5,48.35,13.6,-0.305204,84.461,-2.66956,2.4375,2,1.70602,34.62130457692818
5,Pure PG,2010,aamir mccleary,83.4,39.2,43.97,36.7,0.353716,88.973,-1.86966,4.6818,1,1.84381,30.09367235266123
14,Scoring PG,2018,aaren edmead,96.7,45.0,51.09,22.0,0.54258,94.0304,-2.22751,2.9355,1,1.19627,33.80617269493462
32,Scoring PG,2012,aaron anderson,112.2,55.2,60.52,20.6,2.24933,107.049,1.82569,2.9643,3,2.13145,48.66074764188916
33,Scoring PG,2013,aaron anderson,116.7,52.4,60.07,21.3,3.1285,113.363,3.19275,3.129,2,2.11735,48.99192726898876
34,Combo G,2011,aaron anderson,98.3,41.1,52.29,17.0,0.540346,93.5133,-2.09152,1.7667,4,1.42714,51.359229511668794
35,Scoring PG,2014,aaron anderson,118.2,50.9,58.29,18.1,2.36172,111.187,1.77064,2.875,1,1.42173,41.52185568674465
36,Combo G,2017,aaron anderson,111.9,53.9,60.97,21.3,1.84538,105.955,0.683596,3.5769,1,1.92459,42.97311838103992
37,Combo G,2016,aaron anderson,92.1,48.2,54.36,17.2,-0.31307,83.9801,-3.09447,2.3571,2,1.42908,41.38386144499801
43,Scoring PG,2018,aaron augustin,99.1,47.3,52.5,21.3,-0.104416,86.5144,-2.57786,3.2941,3,2.49883,40.78745597166161
47,Combo G,2015,aaron bacote,111.3,44.9,52.78,20.4,2.39516,112.851,1.85443,2.7143,2,2.92983,41.89195474890355
48,Combo G,2016,aaron bacote,112.0,49.3,55.7,17.0,2.62857,117.099,2.91368,2.1579,1,2.67692,40.04436033680081
49,Scoring PG,2014,aaron bacote,103.1,46.9,53.73,24.0,2.87825,116.614,2.86178,2.9143,3,2.65874,46.54676566287982
50,Combo G,2013,aaron bacote,90.1,46.6,50.36,19.2,0.267248,88.0771,-2.14288,2.5862,4,1.56181,42.705279769266475
63,Scoring PG,2015,aaron bright,100.9,43.2,49.64,24.5,2.04516,106.211,-0.415443,3.7667,1,2.71555,33.31973999462292
64,Pure PG,2012,aaron bright,111.9,54.4,58.71,26.3,3.05154,117.243,3.93527,3.6757,3,2.93404,47.24098860331042
66,Scoring PG,2013,aaron bright,101.0,43.4,48.12,22.3,1.91057,103.553,0.389563,3.4333,2,2.74988,35.56588022707855
77,Scoring PG,2018,aaron calixte,100.0,53.7,59.01,23.0,2.18894,106.492,0.941957,3.1562,2,2.05525,44.65727566358638
