,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,test_score
1,Scoring PG,2014,aakim saintil,90.7,38.8,45.78,32,0.154813,90.2838,108.117,-4.29753,1.8214,6.25,1.186039,0.4,-3.76,49.708342163149936
3,Scoring PG,2020,aamahne santos,91.3,43.4,45.46,41,-0.0564136,84.7826,105.123,-2.79163,2.6,7.8667,1.50002882,0.3333,-3.09113,42.715083432975604
10,Wing G,2019,aanen moody,102.1,55.1,56.02,16,0.794582,97.0455,108.283,0.413738,0.8667,9.7333,0.81250587,0.7273,-0.592206,36.9314825554635
14,Scoring PG,2018,aaren edmead,96.7,45.0,51.09,51,0.54258,94.0304,115.708,-2.22751,2.9355,9.6452,1.42189381,0.4868,-5.00036,51.52261677569559
17,Wing G,2017,aaric armstead,91.0,37.1,42.02,61,-0.0117966,87.6788,99.0758,-0.759953,1.5938,8.6875,1.0,0.3974,0.593292,43.410487619776916
18,Wing G,2014,aaric armstead,89.5,42.6,46.83,62,0.093042,89.3799,99.1775,-1.4332,0.4483,7.6897,0.25491869,0.519,-0.197299,38.828334699754464
20,Wing G,2015,aaric armstead,100.2,45.1,50.43,74,1.36887,101.236,100.652,0.846597,0.6429,11.1071,0.38299774,0.5169,0.943516,40.88001314271445
32,Scoring PG,2012,aaron anderson,112.2,55.2,60.52,62,2.24933,107.049,106.119,1.82569,2.9643,10.9286,1.59619832,0.5,1.96397,51.554679941657156
33,Scoring PG,2013,aaron anderson,116.7,52.4,60.07,71,3.1285,113.363,106.874,3.19275,3.129,13.3226,1.76361178,0.52,2.84788,56.260002585212135
35,Scoring PG,2014,aaron anderson,118.2,50.9,58.29,66,2.36172,111.187,115.911,1.77064,2.875,10.75,2.24398992,0.5357,-0.309572,56.64228912579625
43,Scoring PG,2018,aaron augustin,99.1,47.3,52.5,19,-0.104416,86.5144,98.7171,-2.57786,3.2941,4.0588,2.07410912,0.5556,-0.0922562,55.19891575834402
49,Scoring PG,2014,aaron bacote,103.1,46.9,53.73,107,2.87825,116.614,103.537,2.86178,2.9143,15.4857,1.02002028,0.5538,2.19469,51.32800486527459
51,Wing G,2017,aaron bodager,97.9,52.6,53.09,16,-0.0543182,87.2679,110.604,-1.50134,1.3824,7.1471,0.77052561,0.8571,-2.51917,40.30583840194995
52,Wing G,2016,aaron bodager,134.2,72.5,73.84,9,2.14668,116.846,116.024,2.32377,1.0968,6.3548,1.54544172,0.6923,0.471443,42.58333281724606
63,Scoring PG,2015,aaron bright,100.9,43.2,49.64,57,2.04516,106.211,102.391,-0.415443,3.7667,10.9333,1.66175497,0.4268,-1.4687,55.67572605967816
66,Scoring PG,2013,aaron bright,101.0,43.4,48.12,45,1.91057,103.553,99.5536,0.389563,3.4333,9.3,2.10206339,0.4154,-0.442204,53.09819731109848
68,Wing G,2010,aaron broussard,103.6,49.0,49.8,101,1.32224,101.992,100.632,1.88561,1.1935,10.3226,0.77079567,0.5735,1.78829,36.88077884894953
69,Wing G,2012,aaron broussard,111.0,51.5,54.48,142,3.30456,117.434,101.532,5.09552,1.08,18.96,0.57446811,0.5904,4.47733,36.578399048362144
70,Wing G,2015,aaron brown,98.1,49.0,52.44,98,2.61436,109.921,103.019,1.93361,2.0,14.8125,0.91428571,0.5577,0.464976,42.559850219981854
71,Wing G,2016,aaron brown,104.8,50.2,53.34,102,1.79666,107.588,101.317,0.4418,1.3056,10.3611,1.11905378,0.5738,0.219689,41.763771916010526
72,Wing G,2015,aaron brown,96.2,44.2,50.38,88,1.24503,102.284,100.741,-0.937877,1.1935,9.2903,0.7399715,0.5391,-1.26421,45.669656318664785
73,Wing G,2014,aaron brown,114.0,50.7,57.09,54,2.34639,113.121,101.412,2.90833,1.2941,9.9706,0.91663127,0.5811,3.15867,48.14222076351006
77,Scoring PG,2018,aaron calixte,100.0,53.7,59.01,121,2.18894,106.492,111.896,0.941957,3.1562,16.9375,0.83470856,0.6083,-0.644752,47.94596944920988
