,pos,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,score
137,Wing F,2014,aaron gordon,105.5,23.2,51.6,50.27,10.4,19.3,13.0,12.4,0.422,173,337,0.513,16,45,0.356,3.4,1.8,47.1,Fr,2.86228,115.064,3.0,99.6,83.3035,31.2368,3.32065,3.85299,2.6842,5.2895,7.9737,1.9737,0.8947,1.0263,12.3684,2.35011,4,1.36361758,0.6919,0.2571,87.7492,4.96193,242.823,8.3179,2.89022,5.42768,7.17364,51.76972281449894
158,Scoring PG,2016,aaron holiday,94.5,20.4,46.2,50.03,2.0,7.8,21.1,24.8,0.727,75,196,0.383,39,93,0.419,0.8,2.5,30.4,Fr,1.23495,99.2945,4.1,89.4,100.412,31.6562,-0.725836,1.40555,0.5938,2.4062,3.0,3.9688,1.4062,0.25,10.3438,5.10103,4,1.3804522,0.4789,0.328,106.87,3.09933,181.366,1.72579,0.364815,1.36097,0.679715,37.242359630419344
159,Scoring PG,2017,aaron holiday,113.1,23.2,57.1,60.96,1.5,9.5,24.4,21.3,0.793,97,180,0.539,53,129,0.411,0.6,2.2,35.9,So,3.0058,120.686,3.4,89.4,99.9203,26.3333,2.95371,0.777734,0.3333,2.5278,2.8611,4.3889,1.0833,0.1667,12.25,7.33543,3,1.81607151,0.6413,0.4318,103.97,2.65112,174.792,3.35938,3.56244,-0.203062,3.73144,37.242359630419344
160,Scoring PG,2018,aaron holiday,112.9,27.2,55.7,60.87,1.6,8.7,29.9,20.6,0.828,124,255,0.486,88,205,0.429,0.7,1.9,41.7,Jr,5.07293,127.461,2.8,89.4,103.391,37.697,4.87478,0.140775,0.5152,3.1515,3.6667,5.8182,1.2727,0.2424,20.3333,9.1917,2,1.53599624,0.5695,0.3654,106.928,3.3327,209.167,4.36451,4.73004,-0.365525,5.01555,37.242359630419344
194,Stretch 4,2019,aaron nesmith,104.4,19.8,49.3,53.65,4.2,17.3,10.8,16.0,0.825,55,116,0.474,59,175,0.337,2.1,1.4,27.5,Fr,2.13344,108.742,4.2,87.4,98.6876,29.0,1.56443,1.34993,1.0625,4.4688,5.5312,1.4062,0.7188,0.5625,11.0312,10.8853,4,0.88229395,0.6,0.2826,103.661,3.08441,175.414,2.17846,0.993082,1.18537,2.91436,
195,Wing G,2020,aaron nesmith,125.1,23.7,65.9,68.53,2.5,13.9,6.9,11.6,0.825,45,90,0.5,60,115,0.522,2.6,2.3,30.7,So,5.52929,130.755,3.1,87.4,105.008,35.7143,8.63458,0.281327,0.7857,4.0714,4.8571,0.9286,1.4286,0.8571,23.0,13.0856,3,0.54167882,0.5577,0.4211,105.59,2.71912,92.9536,6.21376,6.24541,-0.0316497,8.91591,
296,Wing G,2016,abdel nader,103.5,20.7,55.5,58.35,2.9,14.3,8.0,19.7,0.736,109,197,0.553,52,140,0.371,2.2,1.9,31.5,Sr,2.4854,111.208,3.6,51.6,97.815,31.0857,1.531,1.19284,0.7429,4.2286,4.9714,1.5429,1.0571,0.6857,12.9143,7.21419,1,0.68357622,0.6909,0.3793,103.21,3.32365,211.419,4.02682,2.35256,1.67426,2.72384,19.71570717839375
297,Wing F,2015,abdel nader,92.4,21.1,45.0,48.84,5.0,14.5,7.8,19.1,0.767,54,101,0.535,15,69,0.217,3.0,1.3,25.3,Jr,0.688912,99.4979,3.8,51.6,94.5695,16.375,-1.33233,0.67825,0.6875,2.2188,2.9062,0.7188,0.375,0.5,5.8125,7.53709,2,0.62169173,0.6557,0.35,99.388,1.86562,99.5242,0.381111,-0.743157,1.12427,-0.654083,19.71570717839375
298,Stretch 4,2013,abdel nader,80.2,36.7,38.6,42.6,6.3,22.0,13.0,21.8,0.772,63,170,0.371,26,94,0.277,3.1,3.3,21.6,So,0.775547,94.0947,4.5,51.6,95.1509,25.4211,-1.60017,-0.229039,1.4737,4.1579,5.6316,0.8947,1.3158,0.5263,13.0526,12.3202,3,0.27867933,0.4933,0.2737,94.3871,2.69501,102.957,-3.33467,-4.18276,0.848084,-1.82921,19.71570717839375
299,Stretch 4,2012,abdel nader,78.5,31.2,38.1,41.91,4.0,17.4,12.6,23.8,0.682,74,214,0.346,34,114,0.298,4.1,1.7,26.8,Fr,0.11054,87.0027,4.4,51.6,106.773,24.4667,-3.45139,-1.56146,0.8667,3.3,4.1667,1.0,0.6667,0.7333,10.3333,9.83555,4,0.34883316,0.4776,0.2857,105.971,1.66197,132.658,-5.40257,-4.89876,-0.503803,-5.01285,19.71570717839375
