player_name,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,multiplier,pt_rating,raptor_rating,war_rating,total_score
aaron gordon,2019.5,4559.83,2206.67,-0.38,0.35,-0.03,2.65,-0.48,2.17,0.25,0.2,0.45,3.6,3.49,0.1,0.18,-0.12,0.06,-0.1,1.0,0.47,0.5,0.26,43.1
aaron holiday,2021.5,2359.5,1108.5,-0.66,-0.38,-1.04,-1.13,-0.35,-1.48,-0.8,-0.39,-1.19,0.83,0.57,0.26,-1.17,-0.79,-1.96,0.31,1.0,0.37,0.41,0.16,32.88
abdel nader,2020.0,1893.0,892.0,-2.56,0.01,-2.55,-6.89,0.71,-6.18,-3.62,0.12,-3.5,-0.34,-0.33,-0.01,-3.69,-0.7,-4.4,-0.18,1.0,0.22,0.26,0.11,20.55
al farouq aminu,2016.5,4457.17,2175.67,-1.01,1.8,0.79,0.92,1.14,2.07,-0.68,1.78,1.1,4.18,3.58,0.6,-0.49,1.82,1.33,-0.13,1.0,0.53,0.53,0.28,46.8
alec burks,2018.0,2839.56,1405.11,0.7,-1.08,-0.38,-1.23,0.15,-1.08,0.37,-0.9,-0.53,1.96,1.85,0.11,0.05,-0.58,-0.53,-0.41,1.0,0.44,0.44,0.2,37.82
alex caruso,2021.0,2996.67,1427.33,-0.72,3.71,2.99,-1.68,5.31,3.63,-0.96,4.23,3.27,4.31,3.99,0.32,-0.9,4.49,3.59,0.31,1.0,0.71,0.7,0.31,60.64
alex len,2018.5,2799.12,1306.12,-2.7,1.11,-1.58,-2.61,-0.35,-2.96,-2.82,0.92,-1.9,0.69,0.71,-0.02,-2.98,0.59,-2.39,0.47,1.0,0.33,0.35,0.14,29.0
allen crabbe,2017.5,3299.0,1576.33,-0.6,-1.24,-1.84,-2.46,-0.18,-2.64,-1.03,-1.08,-2.11,1.17,1.0,0.17,-1.02,-1.31,-2.33,0.03,1.0,0.33,0.34,0.16,29.12
amir johnson,2016.5,3369.5,1665.67,-0.52,1.75,1.23,0.48,-0.13,0.35,-0.37,1.43,1.06,3.45,3.37,0.08,-0.64,1.46,0.81,0.04,1.0,0.54,0.56,0.27,47.78
andre drummond,2018.0,4582.44,2272.11,-1.38,2.06,0.69,1.52,-1.78,-0.26,-0.84,1.4,0.56,3.89,3.84,0.05,-0.41,2.24,1.83,0.26,1.0,0.58,0.51,0.28,48.0
andre roberson,2016.5,3543.5,1727.0,-1.22,2.95,1.73,-0.73,3.98,3.26,-1.22,3.33,2.11,4.22,3.67,0.54,-1.38,3.65,2.27,-0.6,1.0,0.62,0.62,0.3,53.9
andrew nicholson,2015.0,1999.5,998.5,-1.99,-0.75,-2.73,-2.9,3.25,0.35,-2.26,0.06,-2.2,0.07,0.07,0.0,-2.46,-0.85,-3.31,-0.43,1.0,0.28,0.33,0.12,25.94
andrew wiggins,2019.5,5565.0,2675.33,-0.33,-0.14,-0.47,0.79,-0.3,0.49,-0.13,-0.18,-0.31,3.57,3.02,0.55,0.06,0.27,0.33,0.03,1.0,0.48,0.45,0.26,41.36
anthony bennett,2014.5,1593.5,778.5,-3.9,-2.94,-6.84,-2.85,-2.68,-5.54,-3.88,-3.0,-6.89,-1.61,-1.61,0.0,-3.68,-3.43,-7.11,0.44,1.0,0.07,0.07,0.06,6.68
anthony davis,2018.0,4681.44,2266.89,1.87,3.4,5.27,0.44,2.53,2.97,1.67,3.43,5.1,9.49,8.54,0.95,2.09,3.37,5.46,0.48,1.0,0.8,0.79,0.5,72.19
archie goodwin,2015.0,1514.33,727.33,-1.73,-1.13,-2.87,-4.94,-3.34,-8.28,-2.49,-1.64,-4.13,-0.5,-0.5,0.0,-2.67,-2.25,-4.92,0.73,1.0,0.19,0.22,0.1,18.01
austin rivers,2018.0,3610.11,1749.67,-1.02,-1.31,-2.33,-0.8,-1.19,-2.0,-1.07,-1.36,-2.43,0.29,0.36,-0.06,-1.05,-1.18,-2.23,-0.66,1.0,0.35,0.33,0.13,28.74
avery bradley,2018.0,3665.56,1777.44,-1.81,-0.28,-2.09,-0.32,0.04,-0.28,-1.6,-0.23,-1.84,1.25,1.24,0.01,-1.37,0.11,-1.26,0.37,1.0,0.42,0.38,0.18,34.58
ben mclemore,2017.88,3254.0,1567.75,-1.03,-2.56,-3.59,-0.94,-0.15,-1.1,-1.06,-2.19,-3.24,-0.15,-0.19,0.04,-1.2,-2.05,-3.26,0.58,1.0,0.28,0.27,0.11,23.6
ben simmons,2020.5,4538.0,2148.0,0.21,2.14,2.35,0.59,1.71,2.3,0.29,2.14,2.43,5.76,5.01,0.75,0.6,2.86,3.46,0.96,1.0,0.74,0.69,0.39,63.0
bobby portis,2020.0,3561.4,1679.8,-0.32,-0.6,-0.91,1.27,-1.0,0.26,0.02,-0.7,-0.69,2.19,1.76,0.43,-0.1,-0.95,-1.05,-0.14,1.0,0.4,0.42,0.2,35.71
bradley beal,2018.0,5160.44,2496.11,2.66,-0.44,2.22,2.83,-1.13,1.7,2.86,-0.6,2.26,6.77,6.06,0.71,2.91,-0.58,2.33,0.56,1.0,0.58,0.59,0.37,53.14
brandon clarke,2022.0,3362.0,1542.0,1.7,1.35,3.05,-0.42,2.84,2.41,1.32,1.69,3.01,4.57,3.58,0.99,0.87,1.23,2.1,0.16,1.0,0.68,0.76,0.35,62.63
brandon ingram,2020.5,4270.0,2015.5,1.38,-1.51,-0.13,1.11,0.11,1.22,1.41,-1.26,0.15,3.09,2.85,0.24,1.32,-1.4,-0.08,0.02,1.0,0.45,0.47,0.23,40.3
brandon knight,2016.2,3332.6,1636.2,-0.33,-1.45,-1.78,-1.84,-1.96,-3.8,-0.61,-1.61,-2.21,0.87,0.87,0.0,-0.44,-1.49,-1.93,0.32,1.0,0.36,0.34,0.16,30.33
brandon rush,2016.5,2257.5,1097.5,-1.64,-1.42,-3.05,-1.95,-2.91,-4.86,-1.81,-1.83,-3.64,-0.51,-0.52,0.01,-2.05,-2.04,-4.1,-0.59,1.0,0.27,0.29,0.12,23.88
bruce brown,2021.5,3784.0,1820.5,0.45,0.61,1.06,0.58,-0.88,-0.3,0.46,0.35,0.81,3.28,3.03,0.24,0.66,0.69,1.35,-0.68,1.0,0.58,0.55,0.27,49.21
bryn forbes,2021.0,3231.67,1522.67,0.41,-3.84,-3.44,-0.83,-1.7,-2.53,0.14,-3.64,-3.5,-0.59,-0.45,-0.14,-0.0,-3.72,-3.72,-0.18,1.0,0.25,0.26,0.1,21.69
buddy hield,2020.5,5185.0,2440.75,1.51,-1.24,0.27,1.8,-1.47,0.33,1.66,-1.33,0.33,3.91,3.91,0.0,2.12,-0.99,1.13,0.52,1.0,0.52,0.48,0.27,43.91
cam reddish,2022.0,2122.0,1012.0,-1.48,-0.33,-1.8,-6.86,-2.19,-9.05,-2.74,-0.71,-3.45,-0.37,-0.37,0.0,-2.07,-0.76,-2.83,0.38,1.0,0.3,0.26,0.11,23.81
cameron payne,2020.67,2561.33,1219.67,0.63,-0.3,0.32,-1.57,0.52,-1.05,0.19,-0.15,0.03,2.28,1.93,0.36,-0.01,-0.4,-0.41,-0.19,1.0,0.43,0.46,0.2,38.62
caris levert,2020.5,3147.25,1486.0,1.07,-0.14,0.93,0.64,-1.22,-0.58,1.05,-0.36,0.69,2.48,2.33,0.16,0.94,-0.52,0.42,0.24,1.0,0.48,0.5,0.21,41.89
chandler parsons,2016.0,3390.2,1684.2,0.24,-0.29,-0.05,1.2,-1.43,-0.22,0.45,-0.55,-0.1,3.09,3.03,0.05,0.39,-0.65,-0.26,-0.05,1.0,0.5,0.51,0.27,44.71
chris boucher,2022.0,3690.0,1820.0,-0.23,-0.01,-0.25,1.33,4.48,5.81,0.06,0.91,0.98,3.48,2.98,0.49,0.48,0.61,1.1,-0.28,1.0,0.51,0.51,0.25,44.8
chris johnson,2015.0,1462.67,724.0,-2.04,-0.17,-2.21,-0.47,1.61,1.14,-1.81,0.18,-1.62,0.37,0.37,0.0,-2.13,-0.43,-2.56,0.08,1.0,0.35,0.4,0.15,31.82
christian wood,2022.0,4445.0,2094.0,-0.54,-1.36,-1.89,-1.96,-0.76,-2.73,-0.8,-1.24,-2.04,0.76,0.76,0.0,-0.46,-1.81,-2.27,0.47,1.0,0.33,0.34,0.15,29.01
cj mccollum,2018.5,5258.25,2544.5,2.69,-0.45,2.24,2.43,-0.18,2.25,2.76,-0.41,2.35,6.56,5.76,0.8,2.73,-0.14,2.6,-0.13,1.0,0.63,0.63,0.39,56.89
coby white,2022.0,3681.0,1773.0,0.19,-2.61,-2.42,0.6,-0.71,-0.11,0.28,-2.35,-2.07,0.61,0.69,-0.07,-0.11,-1.79,-1.9,-0.69,1.0,0.42,0.41,0.17,35.48
cody martin,2022.0,3908.0,1866.0,0.07,1.52,1.59,1.34,-1.77,-0.43,0.32,0.95,1.27,3.79,3.79,0.0,0.7,1.42,2.12,-0.78,1.0,0.57,0.53,0.26,47.79
