,player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,multiplier,pt_rating,raptor_rating,war_rating,total_score
5,quincy acy,acyqu01,2014,1716,847,-1.716079145,0.13311503,-1.582964115,-0.324810758,-1.661495233,-1.986305991,-1.565257149,-0.216476793,-1.781733942,0.415918084,0.415918084,0.0,-1.46441703,-0.223754299,-1.688171329,-0.554897683,1.0,0.43737580522265845,0.42847321520284254,0.16126635198338604,36.5
6,quincy acy,acyqu01,2015,2517,1287,-2.014956419,-1.268439856,-3.283396275,-3.855207449,2.803841564,-1.051365885,-2.456064586,-0.420948055,-2.877012641,-0.083312615,-0.083312615,0.0,-2.797224029,-1.648024182,-4.44524821,-0.100453505,1.0,0.2372113039474037,0.32434828900475426,0.12720886058208583,24.24
7,quincy acy,acyqu01,2016,1852,876,-0.008327617,0.340783371,0.332455754,-2.798489653,0.130300896,-2.668188757,-0.58754047,0.353933379,-0.233607091,1.123479142,1.123479142,0.0,-1.406107738,0.021970053,-1.384137685,-0.102988345,1.0,0.3808922561302004,0.4449763865755227,0.1609548446944259,34.99
8,quincy acy,acyqu01,2017,1169,558,-0.129001837,0.444338671,0.315336834,-1.345267311,0.806700884,-0.538566428,-0.343630331,0.576149899,0.232519568,0.835632018,0.835632018,0.0,-0.922087481,-0.059176987,-0.981264468,0.125008446,1.0,0.40264025655066354,0.47144689155209885,0.15014728346367104,36.53
9,quincy acy,acyqu01,2018,2856,1359,-2.620031644,-0.806269104,-3.426300749,0.055169946,-0.01919541,0.035974536,-2.208182427,-0.658814194,-2.866996621,-0.08123232,-0.08123232,0.0,-1.826813152,-0.890246236,-2.717059388,0.136139262,1.0,0.3089381511312362,0.2954308728976008,0.11572252585090953,25.56
16,steven adams,adamsst01,2014,3078,1528,-1.270249669,0.056605319,-1.21364435,-1.606126099,-1.383815937,-2.989942035,-1.477307512,-0.300116319,-1.777423832,0.741983669,1.087876915,-0.345893247,-1.739690093,1.022961561,-0.716728532,-0.076885499,1.0,0.41692050007292186,0.35730577615982007,0.14663114527228652,32.7
17,steven adams,adamsst01,2015,3537,1771,-1.655476528,2.431648472,0.776171945,-1.978635702,-0.444894746,-2.423530448,-1.859905727,1.972597164,0.112691438,2.569431836,2.569431836,0.0,-2.254183977,1.950513493,-0.303670484,-0.637424446,1.0,0.4392183005285418,0.4646420649019698,0.21524485134802693,39.28
18,steven adams,adamsst01,2016,5203,2567,1.478173715,4.165262884,5.643436599,0.572685058,3.068726555,3.641411614,1.305029655,4.157908948,5.462938603,10.71133281,8.899270344,1.812062468,1.905361444,3.711730317,5.617091761,-0.807926917,1.0,0.7588343344574551,0.7684730976750705,0.5209421676472424,70.3
19,steven adams,adamsst01,2017,5279,2546,-2.123493705,1.747698141,-0.375795564,0.900828017,1.47722481,2.378052827,-1.626024544,1.772211917,0.146187373,3.775858111,3.143711406,0.632146706,-1.631719557,2.405590986,0.773871429,-0.006770004,1.0,0.49738643131543075,0.4665442395512695,0.2605415548768556,42.66
20,steven adams,adamsst01,2018,5530,2687,0.605872768,1.261217468,1.867090237,4.677628618,0.385550659,5.063179277,1.467602698,1.140201316,2.607804014,7.34142524,6.779274475,0.562150765,1.496105161,1.578665787,3.074770949,-0.278540995,1.0,0.6215941513049269,0.6063350759857357,0.3944149962145368,55.91
21,steven adams,adamsst01,2019,6164,2828,-0.996033462,2.029234288,1.033200826,3.709341273,0.943185209,4.652526482,-0.071750204,1.875017591,1.803267387,6.601450742,6.428883158,0.172567584,-0.447206789,2.972406085,2.525199297,0.497952287,1.0,0.5919270401284332,0.5606468700493288,0.366631777173821,52.39
22,steven adams,adamsst01,2020,3964,1890,0.382543419,1.904521006,2.287064425,-0.089523582,0.247404695,0.157881113,0.315796723,1.657407958,1.973204682,4.542774677,4.329822987,0.21295169,-0.458574738,1.63283925,1.174264512,-0.445224446,1.0,0.5190005485364187,0.5702973071701187,0.2893363457740029,48.08
23,steven adams,adamsst01,2021,3313,1605,-1.46369804,2.084762656,0.621064616,3.476685928,-3.625786702,-0.149100774,-0.542296886,1.044020901,0.501724016,2.63039246,2.63039246,0.0,-0.728366685,1.333237332,0.604870647,-1.226775224,1.0,0.4882633898152692,0.486734533961971,0.2175336901850793,42.0
24,steven adams,adamsst01,2022,4392,2113,0.470639712,1.349454016,1.820093728,6.291396752,-3.165318157,3.126078595,1.68548015,0.450348467,2.135828616,5.263587097,5.140587253,0.122999845,1.373339502,1.526354478,2.89969398,-0.242429757,1.0,0.6121431035937422,0.5795324315105556,0.3164001018983774,52.6
46,cole aldrich,aldrico01,2015,1915,976,-1.873628032,1.653066949,-0.220561084,-6.127859893,-0.102463994,-6.230323887,-2.78804587,1.459642861,-1.328403009,0.709716538,0.709716538,0.0,-2.373581826,0.637865935,-1.735715892,0.247213254,1.0,0.3619132754707298,0.3828048710953187,0.1454196376178856,31.56
47,cole aldrich,aldrico01,2016,1770,877,-1.121396285,2.989030557,1.867634272,-1.799382414,1.992568158,0.193185744,-1.340703831,2.88412763,1.543423799,1.936260175,1.526349689,0.409910486,-0.830005575,4.124676179,3.294670604,0.392257458,1.0,0.6334648282017723,0.5458908142510154,0.1914716713323869,49.01
48,cole aldrich,aldrico01,2017,1088,531,-2.353657181,-0.172464348,-2.526121529,-0.245050692,-0.458163166,-0.703213857,-2.040379858,-0.173788867,-2.214168724,0.144464506,0.144464506,0.0,-2.449468257,0.793979844,-1.655488413,-0.473588409,1.0,0.3662441348413707,0.33250380953988423,0.12419658052509146,29.31
63,nickeil alexander walker,alexani01,2022,3037,1471,-1.501128711,-1.209812106,-2.710940817,-2.399583516,-0.957128906,-3.356712422,-1.773719916,-1.22306792,-2.996787835,-0.198466468,-0.294874403,0.096407935,-0.741982515,-1.313028957,-2.055011472,0.686263032,1.0,0.3446769834684942,0.2880602604046928,0.11132083089826038,26.51
69,grayson allen,allengr01,2022,4468,2110,0.443865984,-0.315203568,0.128662416,-0.683337005,1.131215619,0.447878614,0.214310753,-0.069387608,0.144923145,3.122603752,2.866134371,0.256469381,0.021424026,-0.291375224,-0.269951198,0.02209729,1.0,0.44103854326288505,0.4664724462888174,0.23601434617648306,39.93
72,jarrett allen,allenja01,2020,4197,1984,-0.724630178,2.899502694,2.174872516,3.210050433,-0.272553336,2.937497097,0.049760693,2.414875256,2.46463595,5.251738616,4.564156485,0.687582131,-0.106954021,1.998815081,1.891861061,-0.800769953,1.0,0.6692856249007189,0.7178457791314012,0.3791462839733883,61.5
73,jarrett allen,allenja01,2021,3843,1864,-0.760233413,2.283781697,1.523548285,-0.422034034,-1.359427689,-1.781461724,-0.688407237,1.694613195,1.006205958,3.528934389,3.528934389,0.0,-0.785646048,0.983369178,0.197723131,-0.2863472,1.0,0.5129131184561927,0.5669214840619347,0.2763975623735785,47.4
