,year,player_name,Ortg,eFG,TS_per,ORB_per,DRB_per,AST_per,FT_per,twoPM,twoP_per,TPM,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,pts,unk,season,ast/tov,midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
137,2014,aaron gordon,105.5,51.6,50.27,10.4,19.3,13.0,0.422,173,0.513,16,3.4,1.8,47.1,Fr,2.86228,115.064,3.0,99.6,83.3035,31.2368,3.32065,3.85299,12.3684,2.35011,4,1.36361758,0.2571,87.7492,4.96193,242.823,8.3179,2.89022,5.42768,7.17364,42.77
160,2016,aaron holiday,94.5,46.2,50.03,2.0,7.8,21.1,0.727,75,0.383,39,0.8,2.5,30.4,Fr,1.23495,99.2945,4.1,89.4,100.412,31.6562,-0.725836,1.40555,10.3438,5.10103,4,1.3804522,0.328,106.87,3.09933,181.366,1.72579,0.364815,1.36097,0.679715,32.62
299,2012,abdel nader,78.5,38.1,41.91,4.0,17.4,12.6,0.682,74,0.346,34,4.1,1.7,26.8,Fr,0.11054,87.0027,4.4,51.6,106.773,24.4667,-3.45139,-1.56146,10.3333,9.83555,4,0.34883316,0.2857,105.971,1.66197,132.658,-5.40257,-4.89876,-0.503803,-5.01285,24.46
1024,2010,alec burks,117.0,56.7,62.49,8.5,11.9,13.5,0.786,144,0.576,19,1.5,2.2,59.9,Fr,5.0314,133.419,3.5,61.4,103.123,30.5357,6.88621,-0.745175,17.4286,3.62556,4,0.875,0.4556,107.773,2.46647,144.886,5.76966,6.04383,-0.274169,6.14104,37.54
1127,2013,alex caruso,87.7,41.3,45.13,3.9,12.4,27.9,0.6,49,0.419,13,2.3,4.9,45.2,Fr,0.504046,91.2602,4.6,83.2,90.3475,24.697,-1.46725,4.4019,5.5152,3.88495,4,1.49333384,0.2,92.3065,2.97941,174.148,4.36197,-0.0689906,4.43096,2.93465,60.17
1459,2011,allen crabbe,112.6,54.5,58.2,2.4,15.9,12.2,0.804,77,0.49,62,1.5,1.6,29.5,Fr,3.26936,114.666,1.8,87.0,97.003,33.8387,4.55669,1.3861,13.3548,8.58841,4,1.3260328,0.3983,103.271,3.44425,193.591,5.91986,4.14199,1.77788,5.94279,28.9
1803,2012,andre drummond,100.7,53.8,50.93,14.2,15.5,3.4,0.295,157,0.541,0,9.9,1.8,30.1,Fr,2.01686,106.362,3.1,83.4,90.5331,28.4412,1.78075,2.5491,10.0,0.127848,4,0.28847914,0.2571,95.5401,3.4961,200.006,5.56709,0.789686,4.7774,4.32984,47.66
1870,2011,andre roberson,117.2,60.5,60.21,15.3,25.1,7.1,0.56,83,0.624,12,5.0,3.4,44.9,Fr,2.15498,114.568,5.4,69.6,92.0069,22.1622,3.07891,1.90349,6.5946,2.40767,4,0.74999997,0.2381,95.2651,2.65851,211.866,8.41442,4.37194,4.04248,4.9824,55.03
2115,2014,andrew wiggins,112.3,49.9,56.34,8.4,12.3,9.2,0.775,146,0.493,43,3.1,2.1,53.8,Fr,4.24085,125.836,3.3,100.0,94.4649,32.8,5.14855,1.8287,17.0571,6.31169,4,0.67502293,0.3354,101.712,3.98001,206.932,7.14569,4.66538,2.48031,6.97725,42.88
2241,2013,anthony bennett,112.8,57.5,60.36,9.9,21.3,8.2,0.696,156,0.576,36,4.3,1.5,46.0,Fr,3.70621,124.606,3.4,99.0,85.8106,27.2353,5.93445,2.25506,15.7941,5.8596,4,0.49209348,0.4341,89.4038,3.77519,202.924,6.61092,3.58896,3.02196,8.18951,6.64
2295,2012,anthony davis,133.8,62.8,65.41,11.6,23.9,7.5,0.709,207,0.653,3,13.7,2.5,60.2,Fr,5.9035,138.825,2.4,100.0,75.7599,32.025,9.09614,7.56117,14.175,0.931259,4,1.21951222,0.3846,79.63,5.62176,360.572,17.668,7.54963,10.1184,16.6573,71.67
2813,2013,archie goodwin,96.9,46.4,50.91,5.6,10.4,16.8,0.637,140,0.478,17,1.4,2.1,59.4,Fr,2.61308,109.137,3.7,97.2,94.5801,31.7576,0.684581,0.273842,14.1212,3.60856,4,0.8712997,0.2931,97.7351,3.42587,179.703,0.778603,0.781192,-0.00258988,0.958423,17.86
