,player_name,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe, midmade,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,year,test_score
62,aaron gordon,38,77.1,105.5,23.2,51.6,50.27,10.4,19.3,13.0,12.4,76,180,0.422,173,337,0.513,16,45,0.356,3.4,1.8,47.1,2.86228,115.064,36,83.3035,31.2368,3.32065,3.85299,2.6842,5.2895,7.9737,1.9737,0.8947,1.0263,12.3684,2.35011,1.36361758,137,198,36,140,0.6919,0.2571,87.7492,4.96193,242.823,8.3179,2.89022,5.42768,7.17364,43.37,2014,42.43615743399744
1005,andre drummond,34,70.3,100.7,20.8,53.8,50.93,14.2,15.5,3.4,16.0,26,88,0.295,157,290,0.541,0,2,0.0,9.9,1.8,30.1,2.01686,106.362,27,90.5331,28.4412,1.78075,2.5491,3.3529,4.2059,7.5588,0.4412,0.8235,2.7059,10.0,0.127848,0.28847914,130,185,27,105,0.7027,0.2571,95.5401,3.4961,200.006,5.56709,0.789686,4.7774,4.32984,47.66,2012,40.961171274289086
1179,andrew wiggins,35,81.4,112.3,25.1,49.9,56.34,8.4,12.3,9.2,15.9,176,227,0.775,146,296,0.493,43,126,0.341,3.1,2.1,53.8,4.24085,125.836,54,94.4649,32.8,5.14855,1.8287,2.1714,3.6857,5.8571,1.5429,1.1714,0.9714,17.0571,6.31169,0.67502293,92,132,54,161,0.697,0.3354,101.712,3.98001,206.932,7.14569,4.66538,2.48031,6.97725,43.82,2014,51.737686272460564
1265,anthony bennett,34,67.8,112.8,25.7,57.5,60.36,9.9,21.3,8.2,15.3,117,168,0.696,156,271,0.576,36,94,0.383,4.3,1.5,46.0,3.70621,124.606,56,85.8106,27.2353,5.93445,2.25506,2.3824,5.5882,7.9706,0.9118,0.7059,1.1765,15.7941,5.8596,0.49209348,100,140,56,129,0.7143,0.4341,89.4038,3.77519,202.924,6.61092,3.58896,3.02196,8.18951,6.64,2013,22.137079683813795
1293,anthony davis,40,80.1,133.8,19.1,62.8,65.41,11.6,23.9,7.5,10.0,144,203,0.709,207,317,0.653,3,20,0.15,13.7,2.5,60.2,5.9035,138.825,55,75.7599,32.025,9.09614,7.56117,2.975,7.4,10.375,1.25,1.35,4.65,14.175,0.931259,1.21951222,152,174,55,143,0.8736,0.3846,79.63,5.62176,360.572,17.668,7.54963,10.1184,16.6573,71.67,2012,69.65936667540257
1542,archie goodwin,33,78.8,96.9,27.2,46.4,50.91,5.6,10.4,16.8,21.0,135,212,0.637,140,293,0.478,17,64,0.266,1.4,2.1,59.4,2.61308,109.137,34,94.5801,31.7576,0.684581,0.273842,1.4545,3.1515,4.6061,2.6667,1.0909,0.4545,14.1212,3.60856,0.8712997,106,176,34,116,0.6023,0.2931,97.7351,3.42587,179.703,0.778603,0.781192,-0.00258988,0.958423,17.86,2013,19.08465817382705
1817,austin rivers,34,82.4,104.8,24.0,50.5,53.84,2.2,9.2,13.0,17.0,121,184,0.658,116,243,0.477,58,159,0.365,0.1,1.7,45.8,3.41399,115.548,34,97.2284,33.2059,2.7958,0.279199,0.6176,2.7647,3.3824,2.0882,0.9706,0.0294,15.5,8.19759,0.89873044,82,141,34,102,0.5816,0.3333,102.8,3.33088,176.149,2.9406,2.9932,-0.0526018,3.075,27.61,2012,18.841739530890777
1857,avery bradley,34,72.9,105.2,19.0,48.9,49.58,3.5,6.6,12.4,14.6,36,66,0.545,117,256,0.457,42,112,0.375,1.6,2.4,17.9,2.32709,108.707,70,92.5408,29.5,1.96455,2.09962,0.9706,1.9118,2.8824,2.0882,1.2941,0.5294,11.6471,6.00258,1.36537211,47,89,70,167,0.5281,0.4192,97.7023,3.43879,176.727,5.12429,3.17971,1.94458,4.06416,34.33,2010,34.114790059376105
2058,ben mclemore,37,79.1,118.7,22.0,58.6,63.26,5.0,12.3,12.6,17.2,120,138,0.87,125,226,0.553,73,174,0.42,2.2,1.8,34.5,4.47541,125.989,35,87.3941,32.1892,6.59953,2.901,1.2703,3.9189,5.1892,1.973,1.0,0.6757,15.9189,8.57278,0.94805635,90,126,35,100,0.7143,0.35,92.3885,4.22994,216.163,8.47939,5.6772,2.80219,9.50053,24.68,2013,32.26595607468073
2086,ben simmons,33,86.5,112.9,28.2,56.1,59.95,9.6,26.8,27.4,18.6,199,297,0.67,215,383,0.561,1,3,0.333,2.5,3.1,76.9,4.96514,129.255,55,93.3664,34.8788,6.65406,3.18062,3.1212,8.6364,11.7576,4.7879,1.9697,0.8182,19.1515,0.141684,1.4234451,159,220,55,161,0.7227,0.3416,97.3738,4.27519,290.86,10.2899,5.24639,5.04354,9.83468,62.54,2016,55.1276269021738
