,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
158,2018,aaron holiday,112.9,27.2,55.7,60.87,1.6,8.7,29.9,20.6,124,255,0.486,88,205,0.429,0.7,1.9,41.7,Jr,5.07293,127.461,89.4,103.391,37.697,4.87478,0.140775,0.5152,3.1515,3.6667,5.8182,1.2727,0.2424,20.3333,9.1917,0.5695,106.928,3.3327,209.167,4.36451,4.73004,-0.365525,5.01555,32.62
297,2015,abdel nader,92.4,21.1,45.0,48.84,5.0,14.5,7.8,19.1,54,101,0.535,15,69,0.217,3.0,1.3,25.3,Jr,0.688912,99.4979,51.6,94.5695,16.375,-1.33233,0.67825,0.6875,2.2188,2.9062,0.7188,0.375,0.5,5.8125,7.53709,0.6557,99.388,1.86562,99.5242,0.381111,-0.743157,1.12427,-0.654083,24.46
1125,2015,alex caruso,101.1,21.0,52.0,55.19,2.8,14.1,34.8,28.4,80,158,0.506,26,71,0.366,0.3,4.1,40.2,Jr,2.01441,105.969,83.2,89.9005,31.4545,1.90847,4.13692,0.7273,3.8182,4.5455,5.5152,2.0909,0.0606,9.1212,4.22812,0.6355,92.8772,4.06248,219.985,6.47715,2.70848,3.76867,6.04538,60.17
1457,2013,allen crabbe,108.7,25.4,52.8,56.83,3.3,14.8,16.2,16.4,151,284,0.532,64,184,0.348,1.9,1.9,29.7,Jr,4.68127,122.641,87.0,92.3083,36.2121,5.72903,2.02144,1.0,5.0606,6.0606,2.6364,1.1212,0.697,18.3939,9.24179,0.6703,96.3071,4.20554,221.672,6.67658,4.50198,2.17461,7.75047,28.9
1868,2013,andre roberson,99.8,20.4,51.5,52.4,10.6,27.1,9.4,21.2,113,217,0.521,19,58,0.328,4.4,3.9,35.6,Jr,2.25599,105.013,69.6,79.4846,33.4194,2.92706,4.63046,2.9677,8.2258,11.1935,1.4194,2.1613,1.3226,10.871,3.39385,0.6069,83.7071,5.29756,283.374,8.97574,1.61601,7.35973,7.55752,55.03
2055,2011,andrew nicholson,108.5,30.0,57.8,61.41,6.4,19.0,8.7,19.2,231,392,0.589,6,23,0.261,4.5,1.0,55.9,Jr,4.20821,123.546,10.6,99.7765,33.8387,4.09881,0.356402,1.6774,5.5806,7.2581,1.0323,0.5484,1.4516,20.8065,1.3406,0.773,100.861,3.06446,199.395,1.33659,1.13703,0.199564,4.45521,25.72
5611,2015,buddy hield,110.2,26.7,50.5,54.49,5.6,12.1,13.2,13.3,112,239,0.469,93,259,0.359,0.7,2.5,26.1,Jr,4.2531,125.44,69.0,87.5904,32.4286,6.89175,2.57902,1.6,3.8286,5.4286,1.9143,1.3429,0.2286,17.4286,13.4991,0.5725,93.2655,4.44818,214.056,7.7637,6.00627,1.75743,9.47077,43.6
6012,2018,cameron johnson,120.8,18.8,51.5,55.11,6.3,10.7,13.2,10.9,66,127,0.52,47,138,0.341,0.7,1.3,22.3,Jr,4.08265,128.136,55.4,97.9238,29.3077,4.82924,0.554492,1.6923,3.0,4.6923,2.3077,0.6923,0.1923,12.4231,10.1205,0.6364,105.492,3.19059,129.483,6.52069,6.04682,0.473866,5.38373,62.62
6191,2015,caris levert,101.1,26.0,47.8,52.42,1.0,15.9,22.9,16.3,58,136,0.426,28,73,0.384,1.2,3.4,28.7,Jr,3.11843,112.521,52.4,94.5529,35.8333,3.37103,3.32022,0.2778,4.6111,4.8889,3.7222,1.7778,0.3889,14.9444,7.91277,0.6667,98.751,4.07363,116.928,6.88161,3.45651,3.4251,6.69125,41.56
6652,2010,chandler parsons,114.5,20.8,55.9,58.7,8.2,16.9,16.3,18.2,103,180,0.572,38,106,0.358,0.5,2.2,52.8,Jr,3.66913,120.208,94.4,93.3612,31.0,5.27824,1.85499,2.2647,4.5882,6.8529,2.5882,1.1471,0.1471,12.3529,5.99404,0.6899,97.6814,3.52636,200.768,7.44858,5.56415,1.88443,7.13323,40.56
