,pos,year,player_name,usg,AST_per,twoP_per,porpag,ast,stl,blk,pts,season,ast/tov,score
1124,Pure PG,2014,alex caruso,21.1,36.7,0.52,1.85564,5.0,2.0294,0.8235,9.0,3,2.02379998,76.70220326936746
1125,Pure PG,2016,alex caruso,17.5,31.1,0.572,2.42652,5.0,2.0811,0.3784,8.1351,1,2.12639288,76.70220326936746
1127,Pure PG,2015,alex caruso,21.0,34.8,0.506,2.01441,5.5152,2.0909,0.0606,9.1212,2,1.82001792,76.70220326936746
1716,Pure PG,2010,amir johnson,15.6,30.2,0.407,-0.243627,5.7143,0.9643,0.1429,6.8571,1,2.42429262,58.4221748400853
6070,Pure PG,2015,cameron payne,31.3,39.8,0.507,5.30761,5.9714,1.9429,0.4857,20.2,3,2.40230118,45.40156361051884
6071,Pure PG,2014,cameron payne,29.6,34.1,0.453,3.35489,5.3438,1.5938,0.5938,17.375,4,1.66018391,45.40156361051884
7331,Pure PG,2010,chris johnson,15.5,29.3,0.312,-0.751155,2.9,1.2,0.0667,3.1667,4,1.77554656,35.73560767590619
7332,Pure PG,2011,chris johnson,19.5,31.3,0.484,0.813193,4.4,1.5,0.0667,8.2667,3,1.41935491,35.73560767590619
11335,Pure PG,2016,denzel valentine,28.9,45.8,0.481,6.66234,7.7742,1.0323,0.2258,19.1935,1,2.83533318,41.165600568585646
12200,Pure PG,2018,devonte' graham,25.2,31.4,0.392,5.99509,7.2308,1.5897,0.0513,17.3077,1,2.58714097,57.100213219616215
15362,Pure PG,2016,fred vanvleet,24.7,39.6,0.396,3.58735,5.5484,1.7742,0.0968,12.2258,1,3.18525749,90.44776119402988
15363,Pure PG,2015,fred vanvleet,25.1,35.3,0.461,4.87354,5.2286,1.8857,0.1143,13.5714,2,3.10173806,90.44776119402988
15364,Pure PG,2014,fred vanvleet,19.2,33.5,0.516,4.65915,5.3429,1.8571,0.1143,11.6,3,3.89594561,90.44776119402988
16382,Pure PG,2010,greivis vasquez,30.7,35.3,0.472,5.58704,6.3438,1.7188,0.3438,20.0312,1,1.87964446,40.29850746268657
17609,Pure PG,2019,ja morant,36.0,51.4,0.545,6.4241,9.9394,1.7576,0.8182,24.4848,3,1.92941848,79.01918976545844
21093,Pure PG,2015,jerian grant,25.6,33.5,0.572,6.28747,6.6316,1.6579,0.5,16.5263,1,3.07317281,37.93887704335466
21094,Pure PG,2012,jerian grant,21.2,29.5,0.406,3.89113,4.9706,1.2941,0.1765,12.2941,3,2.68260567,37.93887704335466
21095,Pure PG,2014,jerian grant,25.3,36.5,0.578,6.56518,6.1667,2.0,0.3333,19.0,2,3.36371565,37.93887704335466
21383,Pure PG,2018,jevon carter,25.1,35.2,0.441,5.39718,6.6486,3.027,0.3514,17.2973,1,2.51023176,37.49822316986497
