,pos,year,player_name,TS_per,DRB_per,blk_per,ftr,dgbpm,blk,season,dporpag,gbpm,score
946,PF/C,2010,al farouq aminu,52.4,20.5,4.5,53.2,2.15491,1.4194,3,4.31568,6.42958,57.02914001421464
1395,PF/C,2011,alfonzo mckinnie,52.67,25.0,2.7,57.1,-0.979406,0.2609,4,1.18922,-6.39985,
1396,PF/C,2012,alfonzo mckinnie,59.15,21.3,3.6,41.8,-1.86338,0.7778,3,1.70253,-1.19575,
1397,PF/C,2015,alfonzo mckinnie,50.02,18.7,2.3,29.0,-0.494717,0.4848,1,2.62791,-3.19379,
1868,PF/C,2013,andre roberson,52.4,27.1,4.4,35.6,4.63046,1.3226,2,5.29756,7.55752,67.12153518123668
1869,PF/C,2012,andre roberson,56.83,29.2,6.8,56.8,3.8823,1.8824,3,4.535,8.53155,67.12153518123668
1870,PF/C,2011,andre roberson,60.21,25.1,5.0,44.9,1.90349,1.0811,4,2.65851,4.9824,67.12153518123668
2054,PF/C,2012,andrew nicholson,63.77,22.8,7.3,42.9,2.18607,1.9688,1,3.59007,9.51839,27.377398720682304
2056,PF/C,2011,andrew nicholson,61.41,19.0,4.5,55.9,0.356402,1.4516,2,3.06446,4.45521,27.377398720682304
4124,PF/C,2014,bobby portis,56.18,16.8,5.9,37.3,2.50127,1.5882,4,3.5283,6.99605,41.26510305614784
4125,PF/C,2015,bobby portis,58.23,20.2,4.8,33.5,1.08034,1.3889,3,3.6384,8.39995,41.26510305614784
4421,PF/C,2017,brandon clarke,58.72,22.2,8.2,36.9,2.3647,2.5,3,3.56806,7.71691,79.53091684434969
7103,PF/C,2016,chris boucher,62.43,20.6,11.9,51.7,3.49047,2.9189,2,3.61834,9.48171,54.186211798152094
7104,PF/C,2017,chris boucher,58.98,19.6,11.7,32.0,3.21564,2.5484,1,3.33628,6.95907,54.186211798152094
7328,PF/C,2020,chris johnson,25.38,17.8,1.8,85.7,0.554281,0.0741,3,0.527849,-5.95812,35.73560767590619
7827,PF/C,2014,christian wood,50.51,18.6,6.8,29.9,3.11571,0.9667,4,1.72555,2.92105,31.741293532338315
7828,PF/C,2015,christian wood,56.56,22.7,8.0,42.5,0.95983,2.7273,3,3.87095,4.3575,31.741293532338315
10790,PF/C,2019,dean wade,57.33,16.8,2.2,28.6,3.4893,0.48,1,4.39155,8.88986,
11582,PF/C,2016,derrick jones jr,60.9,13.5,6.1,64.1,2.13655,1.3214,4,2.44978,3.73797,50.44776119402986
12688,PF/C,2016,domantas sabonis,65.09,28.2,2.7,51.3,2.27469,0.8857,3,4.53415,7.6708,68.08813077469794
13046,PF/C,2014,dorian finney smith,47.69,19.3,1.9,40.5,2.12957,0.4324,3,3.75006,4.35978,61.02345415778252
13092,PF/C,2012,doug mcdermott,67.84,20.5,0.3,32.7,-1.68903,0.0857,3,2.69096,8.2227,28.685145700071075
13140,PF/C,2010,draymond green,56.17,24.6,4.1,48.3,5.30217,0.9189,3,3.72302,10.1159,95.29495380241649
13515,PF/C,2012,dwight powell,51.0,23.1,3.8,48.4,3.68878,0.6,3,2.55535,1.85397,57.64036958066809
13516,PF/C,2013,dwight powell,54.72,24.0,3.6,43.6,2.53439,1.1471,2,3.86614,6.18507,57.64036958066809
13518,PF/C,2011,dwight powell,53.62,19.0,4.2,54.0,3.00689,0.9032,4,2.97459,2.85775,57.64036958066809
15243,PF/C,2015,frank kaminsky,62.78,25.7,4.5,41.0,4.47203,1.4615,1,4.85492,15.3813,37.72565742714997
15244,PF/C,2014,frank kaminsky,61.1,18.4,6.1,35.6,3.37535,1.7368,2,3.63778,10.9904,37.72565742714997
15245,PF/C,2012,frank kaminsky,50.28,12.6,5.0,25.0,3.18183,0.3714,4,1.09244,2.94304,37.72565742714997
16189,PF/C,2017,grant williams,57.01,12.8,7.7,73.3,2.5665,1.9062,4,3.08224,5.93474,43.411513859275054
16191,PF/C,2018,grant williams,54.44,14.6,5.1,54.8,2.49258,1.2571,3,3.76987,5.10712,43.411513859275054
16300,PF/C,2010,greg monroe,56.68,25.2,4.9,54.3,3.31865,1.5294,3,4.7123,7.86202,46.8230277185501
17325,PF/C,2018,isaiah roby,64.97,20.0,7.6,59.5,4.74998,1.9688,3,3.20652,7.2866,
17327,PF/C,2017,isaiah roby,43.95,13.3,5.8,23.6,2.32086,0.8333,4,1.6727,-0.663242,
17555,PF/C,2017,ivan rabb,54.14,25.7,3.3,59.9,2.77518,1.0,3,4.67577,5.29345,
17556,PF/C,2016,ivan rabb,63.55,21.4,4.1,58.8,3.09297,1.2353,4,3.86093,7.48012,
17639,PF/C,2014,jabari parker,55.77,23.1,4.0,42.9,0.513063,1.2286,4,3.87471,6.84705,40.55437100213221
18674,PF/C,2018,jalen mcdaniels,64.78,23.9,2.5,52.4,2.72335,0.5758,4,3.27798,6.79698,
18675,PF/C,2019,jalen mcdaniels,52.66,22.7,1.9,28.3,1.58811,0.4706,3,3.88787,2.9253,
19471,PF/C,2011,jamychal green,56.3,17.7,8.2,52.9,4.06628,2.0588,2,4.29572,8.52926,36.03411513859275
19647,PF/C,2012,jared sullinger,59.11,24.0,4.0,51.9,3.45719,1.0541,3,4.95219,10.5424,62.30277185501066
19648,PF/C,2011,jared sullinger,59.14,26.0,2.0,65.1,1.60343,0.5405,4,4.78604,8.35786,62.30277185501066
19684,PF/C,2018,jaren jackson jr,64.71,19.7,14.2,57.3,6.66517,3.0,4,3.55732,10.5672,65.64321250888415
