player_name,total_score
joel embiid,77.03
jimmy butler,75.33
draymond green,73.72
jayson tatum,73.59
paul george,73.43
anthony davis,72.19
fred vanvleet,70.31
derrick white,69.47
damian lillard,67.54
kemba walker,65.2
karl anthony towns,65.07
jonathan isaac,64.93
trae young,64.6
ben simmons,63
brandon clarke,62.63
ja morant,62.27
kyrie irving,61.04
alex caruso,60.64
jakob poeltl,60.16
demarcus cousins,59.15
mikal bridges,57.88
marcus smart,57.68
pascal siakam,57.56
jamal murray,57.06
cj mccollum,56.89
khris middleton,56.71
lonzo ball,56.62
jarrett allen,56.08
dejounte murray,55.84
montrezl harrell,55.62
donovan mitchell,55.47
klay thompson,54.84
malcolm brogdon,54.8
eric bledsoe,54.62
domantas sabonis,54.58
andre roberson,53.9
robert covington,53.52
bradley beal,53.14
jaren jackson jr,52.86
de'anthony melton,52.16
royce o'neale,52
og anunoby,51.78
dillon brooks,51.64
john wall,51.25
matisse thybulle,51.08
gordon hayward,50.92
david nwaba,50.56
terence davis,50.52
jared sullinger,50.51
jaylen brown,50.31
devin booker,50.23
jalen brunson,49.94
hassan whiteside,49.78
jae crowder,49.72
dorian finney smith,49.61
bruce brown,49.21
spencer dinwiddie,49.18
victor oladipo,49.14
delon wright,49.12
devin harris,48.88
terry rozier,48.83
nikola vucevic,48.51
steven adams,48.44
jeremy lin,48.4
michael kidd gilchrist,48.27
shabazz napier,48.17
andre drummond,48
josh hart,47.89
cody martin,47.79
amir johnson,47.78
jordan poole,47.55
derrick favors,47.52
duncan robinson,47.47
dwight powell,47.23
deandre ayton,47.2
larry nance jr,46.95
john collins,46.94
miles bridges,46.92
devonte' graham,46.85
al farouq aminu,46.8
shai gilgeous alexander,46.69
kevon looney,46.36
ryan anderson,46.35
kevin huerter,46.34
tobias harris,46.01
michael carter williams,45.76
gary trent jr,45.6
kelly olynyk,45.46
kentavious caldwell pope,45.23
jordan clarkson,45.12
isaiah thomas,44.89
chris boucher,44.8
jeremy lamb,44.8
chandler parsons,44.71
kyle anderson,44.4
rondae hollis jefferson,44.31
iman shumpert,44.21
reggie jackson,44.15
buddy hield,43.91
nassir little,43.62
justin holiday,43.52
kenrich williams,43.52
d'angelo russell,43.31
jeff withey,43.24
aaron gordon,43.1
josh richardson,42.62
tj warren,42.5
pat connaughton,42.46
derrick jones jr,42.17
myles turner,41.93
caris levert,41.89
tony bradley,41.52
