,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,obpm,score
194,Stretch 4,2019,aaron nesmith,104.4,49.3,53.65,55,2.13344,108.742,98.6876,1.56443,0.993082,
298,Stretch 4,2013,abdel nader,80.2,38.6,42.6,63,0.775547,94.0947,95.1509,-1.60017,-4.18276,19.71570717839375
299,Stretch 4,2012,abdel nader,78.5,38.1,41.91,74,0.11054,87.0027,106.773,-3.45139,-4.89876,19.71570717839375
2241,Stretch 4,2013,anthony bennett,112.8,57.5,60.36,156,3.70621,124.606,85.8106,5.93445,3.58896,0.0
4529,Stretch 4,2016,brandon ingram,112.1,52.5,55.25,134,4.30177,123.987,95.9335,5.53645,4.07465,47.78962331201137
6639,Stretch 4,2011,chandler parsons,110.3,54.6,55.14,112,3.42501,115.877,90.6999,4.95164,5.0632,54.05828002842929
7325,Stretch 4,2010,chris johnson,116.4,52.4,57.06,73,3.26504,125.245,84.6466,6.9899,5.59166,35.73560767590619
7327,Stretch 4,2012,chris johnson,122.2,58.7,62.37,62,4.04122,125.543,98.7273,7.15824,6.30495,35.73560767590619
7907,Stretch 4,2019,chuma okeke,119.1,57.7,59.8,113,4.058,127.534,89.9962,6.70466,6.77449,
7908,Stretch 4,2018,chuma okeke,119.3,54.2,56.14,58,2.24575,117.777,94.6619,3.66194,3.50227,
10791,Stretch 4,2017,dean wade,120.0,57.8,59.49,78,3.12457,120.065,96.2564,4.09473,4.49722,
10792,Stretch 4,2016,dean wade,111.3,48.0,51.93,85,2.44568,115.287,94.6166,2.59127,2.94676,
12902,Stretch 4,2018,donovan mitchell,103.7,60.2,61.99,16,0.392831,97.8764,100.251,-1.8673,-0.335025,69.35323383084577
13044,Stretch 4,2015,dorian finney smith,107.9,55.7,56.35,88,3.34376,122.031,86.8288,6.11344,5.16374,61.02345415778252
13045,Stretch 4,2016,dorian finney smith,113.7,52.8,56.94,98,3.79298,122.468,90.2357,6.08556,4.86776,61.02345415778252
13047,Stretch 4,2012,dorian finney smith,92.9,39.4,42.73,43,0.863422,94.3459,92.8925,0.0580196,0.636195,61.02345415778252
13089,Stretch 4,2013,doug mcdermott,121.3,62.3,67.19,207,6.48425,144.359,94.353,10.3787,6.75132,28.685145700071075
13090,Stretch 4,2011,doug mcdermott,110.1,58.1,60.67,173,3.36637,119.763,101.427,4.33506,3.00352,28.685145700071075
13091,Stretch 4,2014,doug mcdermott,124.4,60.3,64.43,234,7.36282,151.192,100.924,11.104,8.15612,28.685145700071075
13139,Stretch 4,2012,draymond green,107.3,50.4,54.22,160,4.43161,124.279,77.9306,5.98404,4.6544,95.29495380241649
13141,Stretch 4,2011,draymond green,107.7,47.8,51.92,107,3.7492,122.686,84.4545,5.85927,5.84921,95.29495380241649
15242,Stretch 4,2013,frank kaminsky,122.4,51.0,56.15,29,1.57691,130.136,81.2694,4.72018,5.57218,37.72565742714997
16103,Stretch 4,2010,gordon hayward,113.3,52.7,60.13,126,4.3908,123.638,84.8713,5.68736,3.93472,62.88557213930349
17326,Stretch 4,2019,isaiah roby,102.9,49.7,53.19,120,2.757,112.991,91.0837,2.16458,1.44872,
