,pos,year,player_name,Ortg,eFG,TS_per,AST_per,porpag,adjoe,ogbpm,ast,season,dporpag,score
158,Scoring PG,2016,aaron holiday,94.5,46.2,50.03,21.1,1.23495,99.2945,-0.725836,3.9688,4,3.09933,37.242359630419344
159,Scoring PG,2017,aaron holiday,113.1,57.1,60.96,24.4,3.0058,120.686,2.95371,4.3889,3,2.65112,37.242359630419344
160,Scoring PG,2018,aaron holiday,112.9,55.7,60.87,29.9,5.07293,127.461,4.87478,5.8182,2,3.3327,37.242359630419344
1126,Scoring PG,2013,alex caruso,87.7,41.3,45.13,27.9,0.504046,91.2602,-1.46725,3.3939,4,2.97941,76.70220326936746
2011,Scoring PG,2015,andrew harrison,111.6,44.6,53.13,26.0,2.83624,119.751,3.38184,3.5641,3,3.85282,
2012,Scoring PG,2014,andrew harrison,102.6,41.7,50.61,23.9,2.49087,111.184,0.990468,3.975,4,3.36453,
4243,Scoring PG,2011,brad wanamaker,114.2,47.5,53.9,32.4,4.01597,124.494,5.14738,5.1176,1,4.05265,
4244,Scoring PG,2010,brad wanamaker,106.7,48.0,54.0,31.3,3.41292,116.57,3.95635,4.7059,2,4.06051,
4492,Scoring PG,2014,brandon goodwin,93.4,43.1,47.76,20.8,0.07775,89.8491,-2.45617,1.7308,4,1.05851,
4493,Scoring PG,2015,brandon goodwin,95.2,47.1,50.07,26.8,1.32226,98.8246,-0.262935,4.2333,3,1.82132,
8278,Scoring PG,2019,cody martin,119.0,56.4,59.58,25.6,3.59768,117.562,3.0644,4.8529,1,4.24096,58.436389481165605
8444,Scoring PG,2018,collin sexton,109.6,49.8,56.66,27.8,4.74253,133.448,5.4363,3.6061,4,3.25388,37.85358919687279
9500,Scoring PG,2015,d'angelo russell,113.6,54.1,57.29,30.1,5.28622,132.576,8.22413,5.0,4,4.47433,52.06823027718551
10782,Scoring PG,2017,de'aaron fox,110.7,49.7,54.81,28.6,4.05821,127.361,3.96048,4.5833,4,3.93508,49.39587775408671
11047,Scoring PG,2015,delon wright,125.2,54.5,61.66,32.8,5.7605,136.98,8.27648,5.0857,1,5.1177,60.3269367448472
11048,Scoring PG,2014,delon wright,119.2,57.2,63.34,29.3,5.07891,128.207,6.21179,5.1935,2,5.09535,60.3269367448472
11279,Scoring PG,2017,dennis smith jr,109.5,52.0,56.31,34.2,4.58556,126.048,5.32612,6.1562,4,3.14567,21.194029850746272
11619,Scoring PG,2017,derrick white,121.1,58.1,62.67,28.3,5.20076,133.722,8.84082,4.3529,1,3.29774,89.25373134328359
12197,Scoring PG,2016,devonte' graham,117.4,57.4,59.89,19.5,3.5155,119.344,4.10802,3.7027,3,4.20691,57.100213219616215
12199,Scoring PG,2015,devonte' graham,106.1,46.6,53.56,23.0,1.58939,113.177,1.54818,2.1034,4,2.15884,57.100213219616215
12397,Scoring PG,2012,dion waiters,115.9,53.4,56.53,21.2,3.66298,129.685,5.86491,2.4865,3,3.20202,43.02771855010662
12398,Scoring PG,2011,dion waiters,108.1,47.6,51.86,17.5,1.63374,115.306,1.54584,1.5152,4,2.07364,43.02771855010662
13922,Scoring PG,2014,elfrid payton,107.4,51.6,54.07,32.3,3.95247,119.896,5.60237,5.75,2,3.38689,34.9680170575693
13923,Scoring PG,2012,elfrid payton,82.6,44.7,48.68,27.7,-0.0194229,85.45,-3.16082,2.9677,4,2.43142,34.9680170575693
13924,Scoring PG,2013,elfrid payton,103.6,49.4,53.06,33.5,3.25382,111.851,3.1982,5.4375,3,3.13048,34.9680170575693
15365,Scoring PG,2013,fred vanvleet,100.4,45.1,48.55,27.3,0.901155,101.322,0.478386,2.2821,4,1.99774,90.44776119402988
15468,Scoring PG,2015,gabe vincent,112.1,54.3,55.75,17.8,2.43642,114.84,3.41899,2.1429,4,2.03724,
15469,Scoring PG,2018,gabe vincent,116.7,53.8,57.38,20.9,3.08929,117.238,2.231,3.25,1,2.22505,
16194,Scoring PG,2018,grayson allen,121.1,53.6,57.97,21.2,4.93857,128.083,4.64711,4.6486,1,4.12495,47.26368159203981
17010,Scoring PG,2010,iman shumpert,94.0,44.5,48.24,24.3,1.73453,102.029,0.801949,4.0,3,4.14162,53.34754797441366
17168,Scoring PG,2012,isaiah canaan,120.4,58.3,63.69,23.7,5.0012,128.194,7.19613,3.5333,2,3.63464,27.0362473347548
17170,Scoring PG,2011,isaiah canaan,106.7,51.0,56.11,18.3,2.12879,108.016,2.31145,2.2667,3,2.2568,27.0362473347548
17171,Scoring PG,2013,isaiah canaan,112.4,52.4,57.63,27.7,4.98726,124.649,5.91546,4.2759,1,3.0365,27.0362473347548
17357,Scoring PG,2011,isaiah thomas,114.3,51.7,56.25,32.7,4.84646,130.417,5.9993,6.0857,2,3.51267,54.31414356787492
18524,Scoring PG,2016,jalen brunson,107.9,53.9,58.14,19.1,2.38076,116.627,2.45949,2.5,4,2.88415,61.49253731343284
18525,Scoring PG,2018,jalen brunson,128.5,60.4,63.53,26.6,6.37043,146.071,7.833,4.6,2,3.5916,61.49253731343284
18526,Scoring PG,2017,jalen brunson,125.7,60.4,65.5,26.1,5.35828,137.426,5.70354,4.1111,3,3.64433,61.49253731343284
19240,Scoring PG,2011,james johnson,116.6,49.3,52.76,20.6,3.61302,116.942,4.26381,3.5,2,2.93362,40.76759061833689
19241,Scoring PG,2012,james johnson,106.1,45.7,49.6,19.8,2.84947,108.633,2.46282,3.4839,1,2.81004,40.76759061833689
19242,Scoring PG,2010,james johnson,109.5,45.6,52.32,23.0,2.30028,106.149,1.29802,4.0,3,2.28707,40.76759061833689
21012,Scoring PG,2010,jeremy lin,113.3,57.5,62.7,30.8,3.95084,121.499,5.42258,4.4643,1,3.49379,59.30348258706468
