,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
159,2017,aaron holiday,113.1,23.2,57.1,60.96,1.5,9.5,24.4,21.3,0.793,97,180,0.539,53,129,0.411,0.6,2.2,35.9,So,3.0058,120.686,3.4,89.4,99.9203,26.3333,2.95371,0.777734,0.3333,2.5278,2.8611,4.3889,1.0833,0.1667,12.25,7.33543,3,1.81607151,0.6413,0.4318,103.97,2.65112,174.792,3.35938,3.56244,-0.203062,3.73144,32.62
298,2013,abdel nader,80.2,36.7,38.6,42.6,6.3,22.0,13.0,21.8,0.772,63,170,0.371,26,94,0.277,3.1,3.3,21.6,So,0.775547,94.0947,4.5,51.6,95.1509,25.4211,-1.60017,-0.229039,1.4737,4.1579,5.6316,0.8947,1.3158,0.5263,13.0526,12.3202,3,0.27867933,0.4933,0.2737,94.3871,2.69501,102.957,-3.33467,-4.18276,0.848084,-1.82921,24.46
946,2010,al farouq aminu,101.8,27.8,47.1,52.4,14.6,20.5,9.1,20.6,0.698,149,308,0.484,18,66,0.273,4.5,2.6,53.2,So,3.38288,117.633,3.8,98.4,85.7956,31.2903,4.27468,2.15491,4.2903,6.4194,10.7097,1.3226,1.4194,1.4194,15.8387,3.81868,3,0.41415375,0.6474,0.2741,90.2827,4.31568,237.061,6.58999,2.7312,3.85879,6.42958,46.45
1023,2011,alec burks,116.2,32.1,49.8,57.71,9.1,14.7,19.8,15.0,0.822,215,421,0.511,28,95,0.295,1.0,2.0,57.8,So,5.61344,137.983,3.0,61.4,101.415,31.5946,7.64884,-0.411573,2.3514,4.1081,6.4595,2.973,1.0811,0.2973,20.5135,4.71429,3,1.13404034,0.6559,0.3957,105.007,2.76887,212.053,5.84106,6.3762,-0.535146,7.23727,37.54
1126,2014,alex caruso,102.3,21.1,51.3,55.29,1.7,11.9,36.7,24.4,0.685,79,152,0.52,24,72,0.333,3.3,4.3,49.6,So,1.85564,106.588,3.6,83.2,89.755,29.7941,0.990315,5.30713,0.4412,3.1471,3.5882,5.0,2.0294,0.8235,9.0,4.41571,3,2.02379998,0.625,0.2917,91.4274,4.05352,216.791,6.7114,1.41404,5.29736,6.29745,60.17
1458,2012,allen crabbe,112.5,21.4,53.1,56.42,3.5,16.5,12.2,12.9,0.843,96,207,0.464,83,208,0.399,1.8,0.9,21.4,So,3.7898,117.768,1.7,87.0,92.0698,34.0588,5.37925,1.62326,0.9412,4.7647,5.7059,2.0882,0.5294,0.5882,15.1765,10.8356,3,1.3396203,0.7091,0.375,94.2053,4.05122,211.572,5.99997,4.03295,1.96703,7.00251,28.9
1869,2012,andre roberson,108.3,21.8,54.9,56.83,12.4,29.2,9.2,17.0,0.606,123,227,0.542,18,46,0.391,6.8,2.7,56.8,So,3.00442,114.22,3.1,69.6,83.2999,30.4706,4.64925,3.8823,3.0588,7.9412,11.0,1.2059,1.3529,1.8824,11.5882,2.7003,3,0.6508176,0.675,0.2239,86.0431,4.535,276.426,9.16284,2.36161,6.80123,8.53155,55.03
2056,2010,andrew nicholson,112.5,24.0,56.1,59.67,9.1,17.9,3.7,14.8,0.76,189,337,0.561,0,0,0.0,6.6,0.4,37.1,So,3.72714,121.2,4.0,10.6,99.7134,30.2759,3.05449,0.0396227,2.3448,4.8276,7.1724,0.4828,0.2069,1.8966,16.3103,0.0,3,0.25927716,0.7425,0.3824,101.019,2.81462,169.169,1.74362,1.14214,0.601477,3.09411,25.72
4124,2015,bobby portis,118.9,25.7,55.2,58.23,13.6,20.2,8.8,11.5,0.737,236,436,0.541,14,30,0.467,4.8,2.1,33.5,So,4.63646,132.388,2.9,96.8,92.078,29.8889,7.31961,1.08034,3.6944,5.2222,8.9167,1.1667,1.0833,1.3889,17.4722,1.58536,3,0.74999998,0.7304,0.3799,95.8038,3.6384,235.735,7.92782,5.11539,2.81243,8.39995,35.43
5612,2014,buddy hield,113.7,23.0,54.8,56.78,6.0,9.1,11.8,13.7,0.75,106,207,0.512,90,233,0.386,0.5,2.4,19.1,So,3.85182,123.293,2.7,69.0,100.703,32.0909,5.6647,0.886104,1.7576,2.6667,4.4242,1.8788,1.3939,0.1515,16.5152,12.24,3,1.03332969,0.6462,0.2857,106.487,3.19093,183.496,6.71269,5.92388,0.78881,6.5508,43.6
6014,2017,cameron johnson,121.0,16.3,58.7,61.61,2.5,12.8,14.4,12.6,0.811,49,96,0.51,78,187,0.417,1.0,1.7,26.1,So,3.7768,120.969,3.1,55.4,101.674,33.303,3.81106,1.61123,0.697,3.8182,4.5152,2.3333,0.9394,0.3333,11.8788,10.1101,3,2.02631363,0.661,0.2703,109.386,3.10312,188.16,6.08497,4.89016,1.19481,5.42229,62.62
6082,2015,cameron payne,118.8,31.3,52.9,56.73,2.3,10.7,39.8,14.9,0.783,149,294,0.507,82,220,0.373,1.6,3.2,31.3,So,5.30761,134.334,2.5,28.4,101.405,32.1714,8.84184,1.44499,0.6,3.0857,3.6857,5.9714,1.9429,0.4857,20.2,12.0348,3,2.40230118,0.6092,0.4615,100.124,2.93831,203.057,8.30782,8.05255,0.25527,10.2868,38.32
6192,2014,caris levert,111.7,21.4,52.0,55.84,2.0,14.0,17.2,14.7,0.767,103,224,0.46,60,147,0.408,0.8,2.2,32.3,So,3.80866,120.81,2.0,52.4,97.5617,34.0,3.97772,1.94683,0.5135,3.8108,4.3243,2.9459,1.1892,0.2703,12.9189,7.47837,3,1.75801161,0.6867,0.3262,102.869,3.76429,211.715,6.72547,4.66592,2.05955,5.92454,41.56
7343,2010,chris johnson,116.4,22.9,52.4,57.06,11.2,20.9,7.5,12.8,0.848,73,140,0.521,66,188,0.351,1.6,2.3,30.2,So,3.26504,125.245,3.1,71.2,84.6466,24.0556,6.9899,2.5545,2.3056,4.6111,6.9167,0.8056,0.9444,0.3333,11.8889,12.7762,3,0.67448093,0.7231,0.3467,87.9954,3.458,192.485,8.24811,5.59166,2.65645,9.5444,29.57
7839,2015,christian wood,105.3,26.5,52.5,56.56,10.4,22.7,8.5,17.2,0.731,155,279,0.556,25,88,0.284,8.0,0.6,42.5,So,3.38532,117.312,3.2,90.4,93.1696,32.6667,3.39767,0.95983,2.8485,7.1212,9.9697,1.303,0.3333,2.7273,15.7273,5.13674,3,0.5443001,0.6689,0.4252,94.0666,3.87095,225.504,4.05841,1.43628,2.62213,4.3575,28.79
8032,2011,cj mccollum,104.2,32.1,44.7,52.26,6.1,18.8,16.0,14.4,0.845,162,372,0.435,52,165,0.315,2.0,4.1,43.4,So,3.74101,117.904,2.0,9.8,96.929,34.4839,5.5615,1.08093,1.9032,5.9032,7.8065,2.1613,2.4839,0.6774,21.8387,8.67357,3,0.76136961,0.5315,0.3755,93.7732,3.54663,260.023,4.79787,3.38142,1.41645,6.64243,55.76
8291,2016,cody martin,104.0,15.3,47.6,50.04,7.1,11.2,15.8,20.5,0.597,75,160,0.469,3,7,0.429,1.7,2.8,40.1,So,1.14562,100.835,3.2,85.6,100.179,25.7576,0.575805,2.34075,1.7273,2.6364,4.3636,2.2727,1.2121,0.4242,6.0303,0.477529,3,1.6304613,0.6269,0.3548,106.58,2.55284,159.427,3.90831,1.62334,2.28496,2.91655,47.44
8313,2013,cody zeller,119.4,26.5,56.2,62.26,12.4,18.7,9.4,17.1,0.757,199,352,0.565,0,2,0.0,4.4,2.1,73.2,So,5.23894,136.731,3.0,98.2,83.5675,29.5278,6.89924,3.10171,2.8333,5.2222,8.0556,1.3056,1.0278,1.25,16.5,0.111637,3,0.58026669,0.6261,0.4348,88.1328,4.30792,237.616,9.61322,5.41262,4.2006,10.0009,38.74
9300,2015,damian jones,103.6,26.3,55.4,57.39,9.7,16.5,5.9,18.0,0.606,174,312,0.558,1,5,0.2,7.3,1.2,67.2,So,2.90695,116.363,3.5,82.8,95.1792,29.1429,2.01529,1.09852,2.1714,4.3143,6.4857,0.7429,0.5714,2.0,14.4,0.316104,3,0.3421295,0.6667,0.4345,97.8264,3.2313,191.226,2.7378,0.448283,2.28951,3.11381,25.69
