,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,score
195,Wing G,2020,aaron nesmith,125.1,65.9,68.53,45,5.52929,130.755,105.008,8.63458,0.9286,23.0,0.54167882,0.5577,8.91591,
296,Wing G,2016,abdel nader,103.5,55.5,58.35,109,2.4854,111.208,97.815,1.531,1.5429,12.9143,0.68357622,0.6909,2.72384,19.71570717839375
1023,Wing G,2010,alec burks,117.0,56.7,62.49,144,5.0314,133.419,103.123,6.88621,1.75,17.4286,0.875,0.6438,6.14104,44.26439232409383
1024,Wing G,2011,alec burks,116.2,49.8,57.71,215,5.61344,137.983,101.415,7.64884,2.973,20.5135,1.13404034,0.6559,7.23727,44.26439232409383
1457,Wing G,2013,allen crabbe,108.7,52.8,56.83,151,4.68127,122.641,92.3083,5.72903,2.6364,18.3939,1.04818706,0.6703,7.75047,31.89765458422175
1459,Wing G,2011,allen crabbe,112.6,54.5,58.2,77,3.26936,114.666,97.003,4.55669,1.9677,13.3548,1.3260328,0.7692,5.94279,31.89765458422175
2317,Wing G,2020,anthony edwards,103.0,47.0,51.73,126,3.75333,118.582,98.2752,4.38554,2.8438,19.0625,1.04597616,0.6899,4.92848,
2813,Wing G,2013,archie goodwin,96.9,46.4,50.91,140,2.61308,109.137,94.5801,0.684581,2.6667,14.1212,0.8712997,0.6023,0.958423,16.10518834399432
2914,Wing G,2018,armoni brooks,126.9,58.5,59.78,27,2.66468,125.814,92.6068,7.09774,0.4857,9.2857,1.21425001,0.5926,9.34496,
2915,Wing G,2019,armoni brooks,116.0,54.7,55.28,51,3.28187,118.263,89.6057,5.69414,0.8919,13.3514,1.03121749,0.5641,7.5203,
2916,Wing G,2017,armoni brooks,108.8,55.3,56.55,20,0.836718,107.679,95.2728,1.54875,0.2414,4.3448,0.46674402,0.7,2.44295,
3691,Wing G,2013,ben mclemore,118.7,58.6,63.26,125,4.47541,125.989,87.3941,6.59953,1.973,15.9189,0.94805635,0.7143,9.50053,24.05117270788913
